,tf,target,key
0,Ar,0610039K10Rik,Ar_0610039K10Rik
1,Ar,1110008F13Rik,Ar_1110008F13Rik
3,Ar,1700060C20Rik,Ar_1700060C20Rik
4,Ar,2010003K11Rik,Ar_2010003K11Rik
6,Ar,2610528J11Rik,Ar_2610528J11Rik
7,Ar,3110009F21Rik,Ar_3110009F21Rik
8,Ar,4930527F14Rik,Ar_4930527F14Rik
9,Ar,4930579H20Rik,Ar_4930579H20Rik
10,Ar,4930583K01Rik,Ar_4930583K01Rik
11,Ar,4931431C16Rik,Ar_4931431C16Rik
12,Ar,6030469F06Rik,Ar_6030469F06Rik
13,Ar,9130230L23Rik,Ar_9130230L23Rik
14,Ar,A230028O05Rik,Ar_A230028O05Rik
15,Ar,A430057M04Rik,Ar_A430057M04Rik
16,Ar,A730081D07Rik,Ar_A730081D07Rik
17,Ar,Abca6,Ar_Abca6
18,Ar,Abcg3,Ar_Abcg3
19,Ar,Abhd2,Ar_Abhd2
21,Ar,Acot13,Ar_Acot13
22,Ar,Acsl1,Ar_Acsl1
23,Ar,Actrt3,Ar_Actrt3
24,Ar,Adamts15,Ar_Adamts15
25,Ar,Adh5,Ar_Adh5
28,Ar,Angptl7,Ar_Angptl7
30,Ar,Apbb3,Ar_Apbb3
31,Ar,Apol6,Ar_Apol6
33,Ar,Arl4d,Ar_Arl4d
35,Ar,Arrdc2,Ar_Arrdc2
37,Ar,Atp11a,Ar_Atp11a
39,Ar,Atp6v0a4,Ar_Atp6v0a4
41,Ar,B930092H01Rik,Ar_B930092H01Rik
42,Ar,Bcar1,Ar_Bcar1
43,Ar,Bcl2l1,Ar_Bcl2l1
44,Ar,Bcl2l15,Ar_Bcl2l15
45,Ar,Bfsp2,Ar_Bfsp2
46,Ar,Brox,Ar_Brox
47,Ar,Brwd1,Ar_Brwd1
52,Ar,Casp8,Ar_Casp8
53,Ar,Ccl28,Ar_Ccl28
54,Ar,Ccnd3,Ar_Ccnd3
55,Ar,Cdc37l1,Ar_Cdc37l1
56,Ar,Cdkn1a,Ar_Cdkn1a
57,Ar,Cdrt4os1,Ar_Cdrt4os1
58,Ar,Chac1,Ar_Chac1
59,Ar,Chd1l,Ar_Chd1l
60,Ar,Chrdl2,Ar_Chrdl2
62,Ar,Clec9a,Ar_Clec9a
65,Ar,Col26a1,Ar_Col26a1
66,Ar,Col4a4,Ar_Col4a4
67,Ar,Cramp1l,Ar_Cramp1l
69,Ar,Cspg4,Ar_Cspg4
70,Ar,Cycs,Ar_Cycs
71,Ar,Cyp2j11,Ar_Cyp2j11
73,Ar,Dgkh,Ar_Dgkh
74,Ar,Dnajc5b,Ar_Dnajc5b
