Cell,class
PleuralEffusion_122293352876461,20
PleuralEffusion_204825324280747,20
PleuralEffusion_126149071650094,20
PleuralEffusion_200363939322269,15
PleuralEffusion_204351817050036,15
PleuralEffusion_197206083758939,20
PleuralEffusion_125239727114077,20
PleuralEffusion_121955407224101,6
PleuralEffusion_197058291264413,20
PleuralEffusion_205381669178086,20
PleuralEffusion_135571557964718,4
PleuralEffusion_192317694298525,20
PleuralEffusion_157486597232349,20
PleuralEffusion_230741457136563,20
PleuralEffusion_161548575332709,20
PleuralEffusion_133974604794100,20
PleuralEffusion_200562869688741,12
PleuralEffusion_230652439607221,20
PleuralEffusion_235550861876019,20
PleuralEffusion_161548548139883,20
PleuralEffusion_200563790113571,20
PleuralEffusion_240634613872492,20
PleuralEffusion_134377557354355,18
PleuralEffusion_239458073856349,20
PleuralEffusion_236650078006619,20
PleuralEffusion_204351816817974,2
PleuralEffusion_169579761854324,20
PleuralEffusion_166400384789861,20
PleuralEffusion_156453554801075,20
PleuralEffusion_231692895172534,15
PleuralEffusion_169027831510899,20
PleuralEffusion_134531727191276,15
PleuralEffusion_232261694973806,20
PleuralEffusion_166332114089830,20
PleuralEffusion_129583000763174,20
PleuralEffusion_231280322669278,20
PleuralEffusion_200562823089014,20
PleuralEffusion_231897711175531,20
PleuralEffusion_135064437249822,12
PleuralEffusion_230654464944869,20
PleuralEffusion_231280309880733,20
PleuralEffusion_192101783911139,12
PleuralEffusion_231366208974053,20
PleuralEffusion_231891388255029,15
PleuralEffusion_131310529145763,0
PleuralEffusion_227516844234987,20
PleuralEffusion_191756797664180,20
PleuralEffusion_204224194271603,20
PleuralEffusion_121955406472942,20
PleuralEffusion_131293471496436,20
PleuralEffusion_126132159470373,20
PleuralEffusion_161864274328862,4
PleuralEffusion_121965754149603,20
PleuralEffusion_227982982694757,20
PleuralEffusion_205392426264813,20
PleuralEffusion_161960508378483,2
PleuralEffusion_125677947963237,20
PleuralEffusion_231340573670620,20
PleuralEffusion_227973453233515,20
PleuralEffusion_157072030557942,20
PleuralEffusion_133895267175659,20
PleuralEffusion_196180775394166,20
PleuralEffusion_226883202639603,20
PleuralEffusion_204763079259950,20
PleuralEffusion_227844213828918,8
