Cell,class
RU426B_227303182691099,18
RU426B_164693584561908,18
RU426B_227920825727716,18
RU426B_134530833959660,18
RU426B_157606888291043,18
RU426B_162080050040243,18
RU426B_201587038305118,16
RU426B_239956411772206,18
RU426B_196104809008499,18
RU426B_121955419339051,4
RU426B_204198540077427,22
RU426B_120850257729819,18
RU426B_235559305276659,18
RU426B_165853193751469,7
RU426B_135693650738020,18
RU426B_169580988938164,18
RU426B_192883168033644,18
RU426B_227853850524974,18
RU426B_170797805987765,18
RU426B_235127527073717,18
RU426B_196524345580781,18
RU426B_235067382283550,7
RU426B_135143806061811,7
RU426B_156048601298742,6
RU426B_122427436386533,18
RU426B_204351816775468,18
RU426B_126912903919533,18
RU426B_230679179849011,18
RU426B_155954368374709,18
RU426B_162078842280358,2
RU426B_195634106686365,4
RU426B_169019658094963,18
RU426B_204840356665630,18
RU426B_239586910521766,18
RU426B_122359118945205,12
RU426B_129454136805685,2
RU426B_204908271390117,18
RU426B_157697990151525,4
RU426B_130074624813477,18
RU426B_195622417610675,18
RU426B_122369602668406,7
RU426B_134540497382173,22
RU426B_230817378035438,18
RU426B_201446693132660,8
RU426B_165173259558187,2
RU426B_192721179854748,18
RU426B_135496127896491,18
RU426B_239595634506084,15
RU426B_170678353061734,18
RU426B_130598657255845,7
RU426B_195562319764261,18
RU426B_125127896254195,0
RU426B_133992870497643,18
RU426B_135485256027380,18
RU426B_241184489827628,18
RU426B_162072312101094,3
RU426B_200905106046254,16
RU426B_192129432698268,2
RU426B_125059357957356,18
RU426B_160432796613019,18
RU426B_230738055579885,6
RU426B_204959661345581,12
RU426B_169107468531446,18
RU426B_227449345359270,7
RU426B_236845392349539,18
RU426B_170120946538734,18
RU426B_227501931424117,18
RU426B_230677792044918,17
RU426B_134377511700203,18
RU426B_133924257688412,15
RU426B_160438192551710,18
RU426B_121812477667052,18
RU426B_195548195212515,0
RU426B_120788114913635,18
RU426B_157004338216236,7
RU426B_227425442716459,12
RU426B_239611753745779,18
RU426B_162004619937651,18
RU426B_192248720341923,18
RU426B_235058973305268,18
RU426B_134402906188509,18
RU426B_135615133169572,3
RU426B_120718456184043,8
RU426B_131174405454579,18
RU426B_135501343804652,18
RU426B_230807058213787,18
RU426B_161942477425397,18
RU426B_160372398675747,14
RU426B_200502425271020,18
RU426B_235559317362470,18
RU426B_201446647315253,18
RU426B_157605526662564,7
RU426B_232236059122101,5
RU426B_231754934938035,18
RU426B_126767500213660,4
RU426B_230818632288054,18
RU426B_169012798576934,15
RU426B_131302226802469,17
RU426B_192667733609710,7
RU426B_121817818585460,18
RU426B_206068882820014,18
RU426B_191099024403755,12
RU426B_166402847328614,7
RU426B_192667733322596,18
RU426B_130118797932469,18
RU426B_240153878280947,22
RU426B_120726897704236,4
RU426B_160218196633443,15
RU426B_121733798909812,18
RU426B_200494283675443,18
RU426B_125813226592166,18
RU426B_240633686910750,6
RU426B_230809084311390,17
RU426B_129660444359596,17
RU426B_204214633610027,12
RU426B_130118809958252,18
RU426B_205440966899445,18
RU426B_204952159795563,18
RU426B_121817864812902,18
RU426B_196095803614958,18
RU426B_226967222704430,18
RU426B_164693584328428,7
RU426B_133846994377635,7
RU426B_120729999202028,18
RU426B_170672132930908,18
RU426B_240018586553051,18
RU426B_120850243505566,18
RU426B_235551801395036,8
RU426B_135081900259686,12
RU426B_134465335715700,18
RU426B_239586942043996,7
RU426B_135496109546213,18
RU426B_201532546673891,18
RU426B_205990615759260,18
RU426B_226829547199901,18
RU426B_157561624910251,18
RU426B_156022953175412,18
RU426B_192110461893941,18
RU426B_235678475873179,16
RU426B_125102575971563,18
RU426B_156033703374174,7
RU426B_160905391728421,18
RU426B_239997885826997,18
RU426B_169012845296870,18
RU426B_192728951578022,18
RU426B_240162153609971,18
RU426B_236700543411932,12
RU426B_196172039243691,8
RU426B_135485255998174,18
RU426B_155888901605165,4
RU426B_122490832697765,18
RU426B_201119841078502,18
RU426B_235688991254827,14
RU426B_235678490113899,18
RU426B_160921483143005,18
RU426B_126227557006691,18
RU426B_230670678251878,18
RU426B_156031677287332,18
RU426B_125798226181038,18
RU426B_164698906880798,7
