Cell,class
RU1080C_232389351167925,7
RU1080C_130049272825758,12
RU1080C_162078857058531,7
RU1080C_121254238670116,12
RU1080C_235128478943078,7
RU1080C_129446769245043,7
RU1080C_161452731320238,7
RU1080C_236718662773677,7
RU1080C_120718468738460,7
RU1080C_170740629326260,7
RU1080C_126681628727134,7
RU1080C_133846975789853,7
RU1080C_240559720974574,7
RU1080C_239595634449246,7
RU1080C_206068851271990,7
RU1080C_192729635834790,4
RU1080C_165309463509860,7
RU1080C_135081900567837,7
RU1080C_169021703150515,7
RU1080C_235067409382645,7
RU1080C_161452731775276,4
RU1080C_226884423207773,7
RU1080C_195486064994149,7
RU1080C_192667779774693,7
RU1080C_204410979773749,7
RU1080C_241055668288220,7
RU1080C_131235520137652,7
RU1080C_191697070774126,7
RU1080C_125236639918941,7
RU1080C_191140650511158,7
RU1080C_204222297126819,7
RU1080C_231282354871715,7
RU1080C_192859692230437,0
RU1080C_204410979474798,7
RU1080C_227929327090020,7
RU1080C_166402828156251,7
RU1080C_236770351500140,14
RU1080C_120850243800300,14
RU1080C_134463457254707,7
RU1080C_121751140264740,7
RU1080C_196157038259628,1
RU1080C_235678521584477,7
RU1080C_201463707684085,7
RU1080C_192324017183667,7
RU1080C_134465336237414,7
RU1080C_156524122323292,7
RU1080C_130538481280869,7
RU1080C_199874716233067,7
RU1080C_156049541323180,7
RU1080C_240628305935662,7
RU1080C_157604560193261,7
RU1080C_126913575500580,7
RU1080C_122307625831206,0
RU1080C_195617034254244,2
RU1080C_239476047210332,7
RU1080C_239612558728435,7
RU1080C_157680527142123,7
RU1080C_226967254656750,7
RU1080C_164693553047909,7
RU1080C_227509494012835,7
RU1080C_195634094066612,7
RU1080C_235000944770348,7
RU1080C_134034881144628,7
RU1080C_126284316232949,7
RU1080C_157131085888412,7
RU1080C_131174404909940,7
RU1080C_166479198305715,7
RU1080C_226884442056566,7
RU1080C_235214396578661,7
RU1080C_236718663253363,7
RU1080C_155973323766646,7
RU1080C_129574575684845,7
RU1080C_192729623193518,7
RU1080C_120849081978286,7
RU1080C_226417211795316,7
RU1080C_191705304197982,5
RU1080C_199884246038948,7
RU1080C_135562668698531,7
RU1080C_169787281266981,7
RU1080C_170740610455926,0
