Cell,class
RU1066_235601986206429,8
RU1066_162001547348398,8
RU1066_226953411315956,8
RU1066_226343123536172,8
RU1066_230732686899038,8
RU1066_227305214327596,8
RU1066_239946748249963,8
RU1066_241057700140893,8
RU1066_169014006339820,8
RU1066_170798579857260,8
RU1066_200974093466918,8
RU1066_169727151782620,8
RU1066_191226664860981,8
RU1066_192121064569764,8
RU1066_157562549950390,8
RU1066_239932687439580,8
RU1066_135081932286748,8
RU1066_125197064517478,8
RU1066_161864228648862,8
RU1066_204911370267379,8
RU1066_155888882736435,8
RU1066_157614001540445,8
RU1066_161340122916588,8
RU1066_192678068414883,8
RU1066_201111666547422,8
RU1066_195615825710510,8
RU1066_200363958261549,8
RU1066_134447975558372,8
RU1066_122282749388597,8
RU1066_195958645410526,8
RU1066_230799438728486,8
RU1066_135014255056622,8
RU1066_169587545882028,8
RU1066_204403375721771,8
RU1066_230732701022643,8
RU1066_192255416487149,8
RU1066_239391489519022,8
RU1066_240617702710708,8
RU1066_134522331880756,8
RU1066_121896067611436,8
RU1066_129497381923107,8
RU1066_134540465925027,8
RU1066_170198344297182,8
RU1066_204882366819179,8
RU1066_166416921357108,8
RU1066_231366222010612,8
RU1066_197206038174579,8
RU1066_195622448851755,8
RU1066_161960508898147,8
RU1066_235695835868076,8
RU1066_196638177684724,8
RU1066_201114472824180,8
RU1066_135699958253868,8
RU1066_134540498226532,12
RU1066_131234312415077,8
RU1066_169794797197220,8
RU1066_240136800819420,8
RU1066_155911403288349,8
RU1066_160447842867115,8
RU1066_204911358425372,8
RU1066_201523567902107,8
RU1066_236167208286508,8
RU1066_201670683735966,8
RU1066_236221654818148,4
RU1066_201465585944435,8
RU1066_192317693802286,8
RU1066_195606477421420,8
RU1066_131293456029532,2
RU1066_126227542365988,8
RU1066_196043605391211,8
RU1066_235602017471206,8
RU1066_195625785387948,8
RU1066_231279504766827,8
RU1066_134531774035699,8
RU1066_226806174734188,8
RU1066_231770101340395,8
RU1066_200441249614236,8
RU1066_226901456504685,8
RU1066_196180748680627,22
RU1066_170276753951454,8
RU1066_161340122650422,8
RU1066_134531727092524,8
RU1066_227853897252204,8
RU1066_160903109926107,8
RU1066_204765463268710,4
RU1066_204762139211638,8
RU1066_197206065400108,8
RU1066_126218817957165,8
RU1066_169158156184411,8
RU1066_121879171546485,8
RU1066_205510759331563,8
RU1066_161411808057627,8
RU1066_204358231636333,8
RU1066_230807848499637,8
RU1066_169027845441902,8
RU1066_165860320332203,8
RU1066_197213600299891,8
RU1066_191691480222510,8
RU1066_204358259009460,8
RU1066_200967503960292,8
RU1066_239382617017269,8
RU1066_126776251987870,8
RU1066_135149143309227,8
RU1066_201670702328734,8
RU1066_236650092976373,8
RU1066_200967516503413,8
RU1066_227991438452525,8
RU1066_134936708953966,8
RU1066_134592125881269,8
RU1066_126706297551667,8
RU1066_204954185976557,4
RU1066_232261741406564,8
RU1066_135081913380133,8
RU1066_200511164434163,8
RU1066_161451939096310,8
RU1066_160447856233397,8
RU1066_160990095137588,8
RU1066_170276741343972,8
RU1066_235626668083035,8
RU1066_231279516642012,8
RU1066_227516876019949,8
RU1066_161478648118491,8
RU1066_162001579595614,8
RU1066_135699958708645,8
RU1066_204825309669795,8
RU1066_197060143565148,8
RU1066_131217381878189,8
RU1066_230749746648949,8
RU1066_191691460884902,8
RU1066_133854479182572,8
RU1066_232318617673132,8
RU1066_199865964845428,8
RU1066_126886731701020,8
RU1066_134447990172523,8
RU1066_125197065239908,8
RU1066_161411795438940,8
RU1066_240161227957998,8
RU1066_169027845932909,8
RU1066_126227556808564,8
RU1066_199962333169523,8
RU1066_241114577061739,8
RU1066_131234312677286,8
RU1066_160910657870235,8
RU1066_230732701054836,8
RU1066_204403356154662,8
RU1066_201585876393326,8
RU1066_197213581626603,8
RU1066_165188398934875,8
RU1066_231897723951835,8
RU1066_239407492880678,8
RU1066_130194227513691,8
RU1066_235129973889318,8
RU1066_169151713986420,8
RU1066_201114458413420,8
RU1066_241098905242859,8
RU1066_191226637839262,8
RU1066_126294007859510,8
RU1066_192745875851508,8
RU1066_197188201143005,8
RU1066_200563762621797,8
RU1066_122428792948589,8
RU1066_235214365214579,8
RU1066_200974081406819,8
RU1066_200348255336669,8
RU1066_192101752621364,8
RU1066_197185816713133,8
RU1066_160785164360484,8
RU1066_240482262141339,8
RU1066_226883215149916,8
RU1066_235199318845660,8
RU1066_169156963683110,8
RU1066_240498414841054,8
RU1066_199934595685238,8
RU1066_166288044242667,8
RU1066_226874732698925,8
RU1066_161893265624499,8
RU1066_240154785803684,8
