gene,candidate_regulator,selection_freq
SIX1,TCF4,1.0
SIX1,EHF,1.0
SIX1,REST,1.0
SIX1,RORA_RORB,1.0
SIX4,LMX1B,1.0
SIX4,NFIX,1.0
SIX4,NFYC,1.0
SIX4,REST,1.0
SIX4,RUNX1,1.0
SIX4,SIX1,1.0
SIX4,TCF7L1,1.0
SIX4,TEAD1,1.0
SMAD3,EHF,1.0
SMAD3,PBX1,1.0
SMAD3,REST,1.0
SMAD3,RUNX1,1.0
SMAD3,ASCL1,1.0
SOX11,BACH1,1.0
SOX11,CREB1,1.0
SOX11,JUN,1.0
SOX11,SMAD3,1.0
SOX9,SOX9,1.0
STAT1,STAT1,1.0
STAT2,NFIA,1.0
STAT2,NFIB,1.0
STAT2,RUNX1,1.0
STAT2,TCF7L1,1.0
STAT2,TEAD1,1.0
TBX15,GRHL2,1.0
TBX15,NFATC2,1.0
TBX15,NFIA,1.0
TBX15,NFIX,1.0
TBX15,SIX1,1.0
TBX15,ESR1,1.0
TCF4,TCF4,1.0
TCF7L1,NFIA,1.0
TCF7L1,NFIB,1.0
TCF7L1,REST,1.0
TCF7L1,RUNX1,1.0
TCF7L1,ASCL1,1.0
TCF7L1,EHF,1.0
TCF7L2,EGR1,1.0
TCF7L2,MEIS2,1.0
TCF7L2,NFIA,1.0
TCF7L2,PROX1,1.0
TCF7L2,TFDP1,1.0
TEAD1,NFIB,1.0
TEAD1,PBX1,1.0
TEAD1,RUNX1,1.0
TEAD1,TCF4,1.0
TEAD1,EGR1,1.0
TEAD1,EHF,1.0
TFDP1,TFDP1,1.0
THRB,SIX1,1.0
ZBTB20,CREB1,1.0
ZBTB20,ETS1,1.0
ZBTB20,FOS,1.0
ZBTB20,JUN,1.0
ZBTB20,JUND,1.0
ZBTB20,NFIA,1.0
ZBTB20,TBX15,1.0
ZEB1,ZEB1,1.0
