,CEBPA,EGRNAB,EKLF,SCL,GATA2,CJUN,FLI1,GATA1,FOG1,GFI1,PU1
CEBPA,3.0836718964039433,0.5727480701484371,,0.5547369875445903,,,,,,,
EGRNAB,,11.929310312655499,,0.6206213907013919,,,0.4226818069773579,1.1121740392171824,,,0.9430304219832554
EKLF,,0.29859616887844204,11.340071417088936,0.976787170465779,0.35082756135428583,,,0.8792030352906004,,,
SCL,,1.1200042811885313,,20.542859452436716,1.2531745720755882,,1.4014680225870815,3.1292222330929946,,,3.151155628046637
GATA2,,0.2760572558720824,,0.4398189744922951,11.773904259227825,,,0.5043453839085366,,,0.6465937527308065
CJUN,12.590000420778834,9.524909658137007,,6.21713575933517,3.429174525229341,,2.4065819081524142,7.282055219234568,,,
FLI1,,,,1.7659559102200806,1.406779933471133,1.3685037463112486,21.35425563390029,1.533170210993425,,,1.6661853416871928
GATA1,,,,0.5359641759844216,0.1994004645425433,,,2.8916682257053026,,,
FOG1,20.277328364061155,12.241937288433896,,15.162859055415778,8.793614084184581,18.5360942492577,10.323064835158323,16.125424067629254,,,15.956135650709959
GFI1,9.844042828804124,4.2926429756690965,,1.4599720505226161,0.8994598009427553,,,2.5662119932586624,,,
PU1,,0.38659511601051144,,,0.3897997164292348,,0.5314447427520018,2.486981692364496,,,10.685937840750189
