,CEBPA,EGRNAB,EKLF,SCL,GATA2,CJUN,FLI1,GATA1,FOG1,GFI1,PU1
CEBPA,3.083671896403944,-0.572748070148437,,-0.5547369875445903,,,,,,,
EGRNAB,,11.929310312655499,,-0.3836534455609145,,,0.06981628009824492,-0.8318878406089547,,,0.578866976265946
EKLF,,0.09879295991662085,11.340071417088936,0.8677260316439702,-0.11352310698338053,,,0.43672410017655816,,,
SCL,,-0.40133741641231757,,20.542859452436712,-0.2474261772064263,,0.33907856456186347,2.454758504065901,,,-2.322513244731939
GATA2,,0.004763652452661082,,-0.0507809294574294,11.773904259227825,,,0.3728980193382563,,,-0.4458584025890462
CJUN,-11.41509490992143,9.521440778557906,,-5.314299925528184,2.459019823176023,,-1.3909778758467257,-1.769874616630129,,,
FLI1,,,,0.7175518912463189,0.9604895584351465,-0.1126366621738959,21.354255633900298,0.5158722747420441,,,-0.07746739274215919
GATA1,,,,0.534975077932727,0.19940046454254323,,,2.8916682257053026,,,
FOG1,-13.791912774906242,-1.0802708588097,,11.856002061144927,1.8459946595197485,-1.1071124646561046,7.178937332245221,9.297737267089966,,,-7.3092922007342755
GFI1,9.844042828804126,-4.220082542932487,,-1.1663140971629884,-0.2674912329820923,,,-2.321465539306011,,,
PU1,,0.05584338979885006,,,-0.26560063102822395,,-0.1577707511930111,-2.360873357676207,,,10.68593784075019
