,FLI1,FOG1,PU1,CEBPA,GFI1,GATA2,EGRNAB,GATA1,CJUN,SCL,EKLF
FLI1,,,,,,,,0.2453037051560535,,,0.04757433219552228
FOG1,,,,,,,,0.39084100000000005,,,
PU1,,,0.6405303971365646,0.06330471466440794,,0.021041720093819487,,0.13664412250776653,,,
CEBPA,,0.04494624156269964,,0.8379283229920975,,,,0.06047585964928374,,0.03970237881671827,
GFI1,,,,0.8282918094376295,,,0.06861597459946783,,,,
GATA2,,0.03133764755123003,0.02199559816632131,,,0.7339781789474823,,0.03134264772409707,,,
EGRNAB,,,0.08823042892777144,,0.20615785615879273,,,,0.41290095071631805,,
GATA1,0.033264419678860936,,0.1554484196782552,,,0.017714264708311073,,0.657493746316737,,,
CJUN,,,0.3840235737798,,0.4826760672662291,,,,,,
SCL,,,0.22994840745391718,,,,,0.25786415654833766,,,
EKLF,0.048488804104997486,,,,,,,0.1988430493757472,,,
