"peak_id","gene_short_name","distance"
"chr1_3203767_3204205","Xkr4",1695
"chr1_3324164_3324418","Xkr4",0
"chr1_3360940_3361212","Xkr4",0
"chr1_3416132_3416993","Xkr4",0
"chr1_3433780_3434142","Xkr4",0
"chr1_3485001_3485263","Xkr4",0
"chr1_3514589_3515478","Xkr4",0
"chr1_3535426_3535693","Xkr4",0
"chr1_3547532_3547738","Xkr4",0
"chr1_3636031_3637034","Xkr4",0
"chr1_3670523_3672649","Xkr4",0
"chr1_4491603_4492288","Sox17",0
"chr1_4493361_4493640","Sox17",0
"chr1_4496343_4497591","Sox17",0
"chr1_4769928_4770214","Mrpl15",2991
"chr1_4780097_4780360","Mrpl15",0
"chr1_4785033_4786136","Mrpl15",0
"chr1_4802072_4802759","Lypla1",5028
"chr1_4807291_4808276","RP24-426M1.3",0
"chr1_4857002_4858646","Tcea1",0
"chr1_4902976_4903526","Tcea1",5066
"chr1_4914435_4914882","Rgs20",0
"chr1_4926365_4927536","Rgs20",0
"chr1_4970266_4971418","Rgs20",0
"chr1_4976427_4977000","Rgs20",0
"chr1_5000757_5001386","Rgs20",0
"chr1_5007169_5007427","Rgs20",0
"chr1_5015236_5015683","Rgs20",0
"chr1_5017956_5018178","Rgs20",0
"chr1_5018387_5020480","Rgs20",0
"chr1_5022625_5023176","Rgs20",0
"chr1_5023399_5023676","Rgs20",0
"chr1_5046392_5046823","Rgs20",0
"chr1_5070237_5070561","Rgs20",0
"chr1_5082566_5083585","Atp6v1h",0
"chr1_5110075_5110284","Atp6v1h",0
"chr1_5150609_5151091","Atp6v1h",0
"chr1_5170514_5170714","Atp6v1h",7984
"chr1_5916734_5916959","Npbwr1",0
"chr1_6213140_6213393","Rb1cc1",0
"chr1_6213918_6215524","Rb1cc1",0
"chr1_6260756_6261272","Rb1cc1",0
"chr1_6271932_6272532","Rb1cc1",0
"chr1_6276747_6277281","Rb1cc1",98
"chr1_6282336_6282809","Rb1cc1",5687
"chr1_6286576_6287643","Rb1cc1",9927
"chr1_6356849_6357324","Fam150a",1893
"chr1_6358725_6359567","Fam150a",0
"chr1_6361346_6361708","Fam150a",0
"chr1_6382248_6383384","Fam150a",0
"chr1_6385013_6385237","Fam150a",0
"chr1_6390357_6391147","Fam150a",0
"chr1_6490214_6490457","St18",0
"chr1_6509856_6511456","St18",0
"chr1_6623873_6624729","St18",0
"chr1_6637867_6638644","St18",0
"chr1_6657195_6657457","St18",0
"chr1_6657880_6658686","St18",0
"chr1_6668337_6668773","St18",0
"chr1_6702617_6703284","St18",0
"chr1_6710709_6711087","St18",0
"chr1_6714919_6715497","St18",0
"chr1_6717485_6718101","St18",0
"chr1_6718921_6719124","St18",0
"chr1_6728968_6730203","St18",0
"chr1_6733586_6734185","St18",0
"chr1_6734564_6735032","St18",0
"chr1_6747796_6748009","St18",0
"chr1_6749354_6749615","St18",0
"chr1_6751119_6751326","St18",0
"chr1_6751937_6752481","St18",0
"chr1_6757571_6757851","St18",0
"chr1_6759336_6759620","St18",0
"chr1_6768457_6769189","St18",0
"chr1_6800590_6801127","St18",0
"chr1_6804555_6805419","St18",0
"chr1_6822499_6822792","St18",0
"chr1_6834361_6834763","St18",0
"chr1_6859064_6859274","St18",0
"chr1_6866856_6867194","St18",5915
"chr1_7088102_7089591","Pcmtd1",0
"chr1_7095965_7097020","Pcmtd1",0
"chr1_7105014_7105464","Pcmtd1",0
"chr1_7120353_7121194","Pcmtd1",0
"chr1_7141632_7141880","Pcmtd1",0
"chr1_7144188_7144849","Pcmtd1",0
"chr1_7396994_7398541","Gm26901",0
"chr1_7499076_7499366","RP24-181G14.2",0
"chr1_7518884_7519552","RP24-181G14.2",734
"chr1_9544854_9546250","Rrs1",0
"chr1_9547891_9548183","Adhfe1",0
"chr1_9548696_9548963","Adhfe1",0
"chr1_9564497_9564873","Adhfe1",0
"chr1_9565006_9565469","Adhfe1",0
"chr1_9573067_9573567","Adhfe1",0
"chr1_9578303_9578940","Adhfe1",0
"chr1_9583679_9584551","2610203C22Rik",0
"chr1_9584706_9585038","2610203C22Rik",0
"chr1_9588498_9588831","2610203C22Rik",0
"chr1_9592877_9593354","2610203C22Rik",0
"chr1_9607759_9608122","2610203C22Rik",0
"chr1_9621234_9621941","2610203C22Rik",0
"chr1_9627230_9627638","2610203C22Rik",0
"chr1_9628162_9628830","2610203C22Rik",0
"chr1_9630053_9631896","2610203C22Rik",0
"chr1_9638514_9639328","Gm29520",0
"chr1_9648867_9649109","Gm29520",8284
"chr1_9649253_9649529","Gm29520",8670
"chr1_9660728_9661435","Mybl1",5979
"chr1_9699573_9701117","Mybl1",0
"chr1_9702000_9702306","Mybl1",1790
"chr1_9747346_9748731","Vcpip1",0
"chr1_9755066_9755936","Vcpip1",6683
"chr1_9797620_9799253","Sgk3",0
"chr1_9805204_9806207","Sgk3",0
"chr1_9822732_9823159","Sgk3",0
"chr1_9847493_9848747","Sgk3",0
"chr1_9908490_9908799","Mcmdc2",0
"chr1_9942293_9942732","Snhg6",0
"chr1_9943270_9943482","Snhg6",0
"chr1_9943609_9944314","Snhg6",0
"chr1_9947291_9948180","Snhg6",3172
"chr1_9957365_9957779","Tcf24",2383
"chr1_9966895_9968348","Tcf24",0
"chr1_9988376_9989038","Ppp1r42",0
"chr1_9989849_9990249","Ppp1r42",0
"chr1_10007272_10007495","Ppp1r42",0
"chr1_10008613_10009433","Ppp1r42",0
"chr1_10037437_10038333","Cops5",0
"chr1_10039054_10040296","Cspp1",0
"chr1_10089514_10089865","Cspp1",0
"chr1_10099481_10099871","Cspp1",0
"chr1_10212035_10212432","Arfgef1",0
"chr1_10227003_10227383","Arfgef1",0
"chr1_10231472_10233475","Arfgef1",0
"chr1_10327950_10328205","Cpa6",0
"chr1_10337266_10338158","Cpa6",0
"chr1_10380762_10381178","Cpa6",0
"chr1_10396962_10397218","Cpa6",0
"chr1_10473632_10474114","Cpa6",0
"chr1_10477583_10477782","Cpa6",0
"chr1_10544457_10545109","Cpa6",0
"chr1_10603116_10603698","Cpa6",0
"chr1_10634425_10635091","Cpa6",0
"chr1_10644535_10645180","Cpa6",0
"chr1_10653626_10653925","Cpa6",0
"chr1_10676648_10677010","Cpa6",0
"chr1_10693240_10694287","Cpa6",0
"chr1_10699401_10700322","Cpa6",0
"chr1_10701108_10701344","Cpa6",0
"chr1_10716740_10717350","Cpa6",0
"chr1_10993203_10993993","Prex2",0
"chr1_11033463_11033750","Prex2",0
"chr1_11158565_11158820","Prex2",0
"chr1_11414010_11414370","A830018L16Rik",0
"chr1_11774653_11775020","A830018L16Rik",0
