dataset,gene,r2,n_cells,residual_vs_stress_pearson_r,residual_vs_stress_p,highest_residual_group,highest_residual_group_mean,lowest_residual_group,lowest_residual_group_mean,biology_note
organoid_shGFP,EHF,-1.137007655776079,8894,-0.024568003183155288,0.020504634636645782,Intermediate,0.6277776640987247,Stress,0.21737386236356782,"Epithelial ETS-family TF, ECM/substrate-context sensitive like GRHL2."
organoid_shGFP,THRB,-0.8990752840258629,8894,0.035700308484719764,0.0007587364596819312,Stress,0.7733202499999999,nonNE1,0.13557300000000005,"Thyroid hormone receptor; hormone/media-composition sensitive, a plausible culture-condition confound."
organoid_shGFP,LMX1B,-0.8387742581197701,8894,-0.07917012135816141,7.600091726714473e-14,Generalist NE,0.5209143950745937,Generalist nonNE,0.09939954030123363,"Developmental TF; identity-defining, may not be under the same control outside the native tumor."
organoid_shGFP,TCF7L1,-0.8103673182308133,8894,-0.0905042136897298,1.2136641141733228e-17,Stress,0.7023092981915278,nonNE1,0.05587600000000004,Wnt-pathway TF; Wnt signaling is well known to be culture-substrate/media sensitive.
organoid_shGFP,HES1,-0.7845799162678788,8894,-0.07006035340848077,3.7293071507649405e-11,Intermediate,0.6462757315637135,Generalist nonNE,0.031009202219918174,"Notch-pathway TF; Notch signaling is contact/density dependent, differs in organoid vs. in-vivo geometry."
organoid_shGFP,NFIB,-0.6999243616562092,8894,-0.01624237118060186,0.12560355088519393,nonNE1,0.919522307745106,Stress,0.3086304147564078,Metastasis-associated TF; regulation may differ outside the in-vivo metastatic niche.
organoid_shGFP,ICAM1,-0.6408025072294725,8894,-0.016309468153308786,0.12404873230847847,Stress,0.5144723872113162,nonNE1,0.007950000000000013,Cell-adhesion molecule (ICAM); same culture/attachment-context sensitivity as NCAM1.
organoid_shGFP,EPCAM,-0.6343981133159038,8894,0.07057611516863237,2.6780691096322357e-11,Intermediate,0.6338083552763124,Stress,0.33734726543152627,"Epithelial-adhesion marker, same culture/attachment-context sensitivity as NCAM1/ICAM1."
organoid_shGFP,GRHL2,-0.587174406009876,8894,0.07053794917747147,2.7447219953350216e-11,Neuroendocrine2,0.6007064454462687,nonNE1,0.18978912324636232,"Epithelial-identity TF, sensitive to ECM/substrate and epithelial-mesenchymal balance shifts in culture."
organoid_shGFP,ASCL1,-0.58319486090078,8894,0.13059644488182653,3.915452336709765e-35,Stress,0.8466378403256128,Generalist nonNE,0.12318560220157143,"Core NE-lineage TF; not itself an obvious stress/adhesion story, included as it validates poorly anyway."
