"","regulatory regions","TF motif","motif score","Target_gene"
"1","chr16_92662384_92663235_Runx1","PPARG",9.4039941979948,"Runx1"
"2","chr19_55758805_55759698_Tcf7l2","PPARG",11.1372965762783,"Tcf7l2"
"3","chr4_154480068_154480787_Prdm16","PPARG",9.35217374841138,"Prdm16"
"4","chr6_72736650_72737562_Tcf7l1","PPARG",12.9071815211333,"Tcf7l1"
"5","chr7_112458140_112459058_Tead1","PPARG",10.9960915942793,"Tead1"
"6","chr2_75772323_75773240_Nfe2l2","PPARG",9.37988671663019,"Nfe2l2"
"7","chr2_75682824_75683780_Nfe2l2","PPARG",17.6723184124032,"Nfe2l2"
"8","chr2_75688775_75689518_Nfe2l2","PPARG",10.9554109667968,"Nfe2l2"
"9","chr4_32375774_32376717_Bach2","PPARG",13.5398688083587,"Bach2"
"10","chr4_95283543_95284430_Jun","PPARG",12.079431638214,"Jun"
"11","chr9_32515639_32516515_Ets1","PPARG",13.2723530079042,"Ets1"
"12","chr9_63968292_63969164_Smad3","PPARG",10.0047358547534,"Smad3"
"13","chr1_168290982_168291893_Pbx1","PPARG",12.0754894409689,"Pbx1"
"14","chr5_122026506_122027336_Cux2","PPARG",11.4152696805043,"Cux2"
"15","chr9_44711281_44712149_Kmt2a","PPARG",13.5769861557917,"Kmt2a"
"16","chr9_44717634_44718523_Kmt2a","PPARG",12.6160775659411,"Kmt2a"
"17","chr9_45087795_45088707_Kmt2a","PPARG",10.1131546438207,"Kmt2a"
"18","chr17_86769493_86770409_Epas1","PPARG",10.3317950521351,"Epas1"
"19","chr17_86537064_86537781_Epas1","PPARG",19.8271032775495,"Epas1"
"20","chr5_136394557_136395437_Cux1","PPARG",9.8228764753145,"Cux1"
"21","chr4_82679164_82680082_Nfib","PPARG",9.22992118554837,"Nfib"
"22","chr6_115127038_115127949_Pparg","PPARG",11.6397249574082,"Pparg"
"23","chr19_19109851_19110512_Rorb","PPARG",9.79681291082563,"Rorb"
"24","chr18_5817539_5818092_Zeb1","PPARG",13.0116967137314,"Zeb1"
"25","chr10_57499390_57500288_Hsf2","PPARG",11.201967900176,"Hsf2"
"26","chr16_50594630_50595552_Bbx","PPARG",12.7449259608295,"Bbx"
"27","chr10_87493199_87494036_Ascl1","PPARG",13.8243108121004,"Ascl1"
"28","chr10_128143401_128144302_Stat2","PBX1",11.711149847855,"Stat2"
"29","chr16_92616619_92617511_Runx1","PBX1",12.7779531740617,"Runx1"
"30","chr2_103477220_103478112_Ehf","PBX1",13.3536265655871,"Ehf"
"31","chr7_112655816_112656777_Tead1","PBX1",12.7497047957318,"Tead1"
"32","chr4_32287896_32288807_Bach2","PBX1",13.2303728061598,"Bach2"
"33","chr9_63927379_63928285_Smad3","PBX1",12.7432298043148,"Smad3"
"34","chr1_168583880_168584796_Pbx1","PBX1",13.7730549953069,"Pbx1"
"35","chr2_33555240_33556117_Lmx1b","PBX1",13.1588174610535,"Lmx1b"
"36","chr19_28621360_28622273_Glis3","PBX1",11.8298731273068,"Glis3"
"37","chr19_28520500_28521416_Glis3","PBX1",12.7432298043148,"Glis3"
"38","chr4_82589214_82590092_Nfib","PBX1",16.6013295883429,"Nfib"
"39","chr6_115127038_115127949_Pparg","PBX1",12.1090739786579,"Pparg"
"40","chr19_41693476_41694369_Lcor","PBX1",14.2215753697182,"Lcor"
"41","chr1_39317682_39318597_Npas2","RORA",13.5387837454758,"Npas2"
"42","chr1_85810513_85811366_Sp100","RORA",12.923398153282,"Sp100"
"43","chr10_42088784_42089626_Foxo3","RORA",12.96608618031,"Foxo3"
"44","chr10_42251011_42251888_Foxo3","RORA",13.3922191229979,"Foxo3"
"45","chr15_36993232_36994148_Grhl2","RORA",14.1697386746741,"Grhl2"
"46","chr16_92656525_92657434_Runx1","RORA",15.0777907897324,"Runx1"
"47","chr16_92673920_92674806_Runx1","RORA",13.0383105510577,"Runx1"
"48","chr16_92616619_92617511_Runx1","RORA",13.0383105510577,"Runx1"
"49","chr4_154526034_154526936_Prdm16","RORA",14.7371038179516,"Prdm16"
"50","chr6_72659834_72660726_Tcf7l1","RORA",12.88016756742,"Tcf7l1"
"51","chr6_144620882_144621778_Sox5","RORA",12.4841670079396,"Sox5"
"52","chr12_85684283_85685151_Fos","RORA",12.5394805956392,"Fos"
"53","chr18_35018932_35019826_Egr1","RORA",15.8086313385359,"Egr1"
"54","chr18_35021905_35022746_Egr1","RORA",13.2220173557042,"Egr1"
"55","chr2_75772323_75773240_Nfe2l2","RORA",12.88016756742,"Nfe2l2"
"56","chr4_32246564_32247450_Bach2","RORA",13.3753083399497,"Bach2"
"57","chr4_32365920_32366833_Bach2","RORA",13.5111224966184,"Bach2"
"58","chr4_32375774_32376717_Bach2","RORA",15.1776764093376,"Bach2"
"59","chr4_32287896_32288807_Bach2","RORA",13.0982111540898,"Bach2"
"60","chr4_95076178_95076893_Jun","RORA",12.3047634957195,"Jun"
"61","chr4_95074033_95074841_Jun","RORA",12.7453360871055,"Jun"
"62","chr4_95283543_95284430_Jun","RORA",15.8086313385359,"Jun"
"63","chr8_84749294_84750179_Junb","RORA",13.1704355248375,"Junb"
"64","chr8_84914956_84915833_Junb","RORA",12.6454504675004,"Junb"
"65","chr9_32885903_32886825_Ets1","RORA",13.2220173557042,"Ets1"
"66","chr9_63927379_63928285_Smad3","RORA",12.923398153282,"Smad3"
"67","chr9_63563192_63564081_Smad3","RORA",15.0777907897324,"Smad3"
"68","chr9_63612505_63613394_Smad3","RORA",12.3074700022542,"Smad3"
"69","chr5_122026506_122027336_Cux2","RORA",14.1061488887532,"Cux2"
"70","chr2_33582329_33583245_Lmx1b","RORA",14.2419630454219,"Lmx1b"
"71","chr2_33874109_33874942_Lmx1b","RORA",12.3047634957195,"Lmx1b"
"72","chr12_73035322_73036124_Six1","RORA",12.3047634957195,"Six1"
"73","chr12_73035322_73036124_Six4","RORA",12.3047634957195,"Six4"
"74","chr9_45087795_45088707_Kmt2a","RORA",12.5910624265058,"Kmt2a"
"75","chr12_35712342_35713257_Ahr","RORA",13.3219029753093,"Ahr"
"76","chr17_86532745_86533532_Epas1","RORA",13.3922191229979,"Epas1"
"77","chr17_86537064_86537781_Epas1","RORA",12.88016756742,"Epas1"
"78","chr5_136394557_136395437_Cux1","RORA",14.7371038179516,"Cux1"
"79","chr8_84656569_84657470_Nfix","RORA",13.3922191229979,"Nfix"
"80","chr4_82663789_82664659_Nfib","RORA",12.3074700022542,"Nfib"
"81","chr4_97910611_97911547_Nfia","RORA",15.1776764093376,"Nfia"
"82","chr6_115127038_115127949_Pparg","RORA",14.7371038179516,"Pparg"
"83","chr19_41628947_41629794_Lcor","RORA",13.2220173557042,"Lcor"
"84","chr16_43093715_43094634_Zbtb20","RORA",12.5910624265058,"Zbtb20"
"85","chr18_5817539_5818092_Zeb1","RORA",12.88016756742,"Zeb1"
"86","chr8_76917283_76918193_Nr3c2","RORA",13.8290517028933,"Nr3c2"
"87","chr10_57644184_57645098_Hsf2","RORA",15.0777907897324,"Hsf2"
"88","chr1_39192362_39193244_Npas2","RORA",14.1697386746741,"Npas2"
"89","chr1_85799575_85800431_Sp100","SOX9",12.9939896816524,"Sp100"
"90","chr10_42134921_42135824_Foxo3","SOX9",12.8020002596921,"Foxo3"
"91","chr2_103325053_103325954_Ehf","SOX9",11.426203457579,"Ehf"
"92","chr7_112655816_112656777_Tead1","SOX9",11.4060571311915,"Tead1"
"93","chr4_32365920_32366833_Bach2","SOX9",12.8020002596921,"Bach2"
"94","chr2_33729654_33730574_Lmx1b","SOX9",11.717778535632,"Lmx1b"
"95","chr3_99334432_99335185_Tbx15","SOX9",13.8691664469319,"Tbx15"
"96","chr17_86769493_86770409_Epas1","SOX9",11.426203457579,"Epas1"
"97","chr4_82622141_82623070_Nfib","SOX9",13.8691664469319,"Nfib"
"98","chr4_82470275_82471067_Nfib","SOX9",13.5775913688789,"Nfib"
"99","chr10_87344523_87345439_Ascl1","SOX9",11.7254408511821,"Ascl1"
"100","chr16_42674717_42675629_Zbtb20","SOX9",11.426203457579,"Zbtb20"
"101","chr16_50594630_50595552_Bbx","SOX9",11.4060571311915,"Bbx"
"102","chr1_52056969_52057811_Stat1","REST",11.490973973724,"Stat1"
"103","chr1_85828734_85829649_Sp100","REST",6.7759161871317,"Sp100"
"104","chr1_85799575_85800431_Sp100","REST",11.0866196159329,"Sp100"
"105","chr10_42085072_42085998_Foxo3","REST",7.61141091909481,"Foxo3"
"106","chr10_42092222_42093102_Foxo3","REST",8.4037905289073,"Foxo3"
"107","chr10_128144773_128145619_Stat2","REST",6.91841566158927,"Stat2"
"108","chr14_16483689_16484535_Rarb","REST",10.1372960806609,"Rarb"
"109","chr16_92673920_92674806_Runx1","REST",8.18366714563815,"Runx1"
"110","chr2_103434847_103435724_Ehf","REST",6.65540728616633,"Ehf"
"111","chr7_112917880_112918806_Tead1","REST",11.4411637920654,"Tead1"
"112","chr7_112458140_112459058_Tead1","REST",12.8337307532498,"Tead1"
"113","chr12_85623461_85624336_Fos","REST",10.9600292606718,"Fos"
"114","chr12_85540873_85541779_Fos","REST",7.23460121200003,"Fos"
"115","chr18_35018932_35019826_Egr1","REST",7.75271481665206,"Egr1"
"116","chr2_75772323_75773240_Nfe2l2","REST",11.4767610974128,"Nfe2l2"
"117","chr2_75682824_75683780_Nfe2l2","REST",9.78704380883,"Nfe2l2"
"118","chr8_84743731_84744632_Junb","REST",9.46027528771494,"Junb"
"119","chr9_63960190_63960990_Smad3","REST",8.76542697871388,"Smad3"
"120","chr9_63612505_63613394_Smad3","REST",6.53450823187739,"Smad3"
"121","chr5_121809416_121810283_Cux2","REST",7.77819378106522,"Cux2"
"122","chr2_168737607_168738516_Nfatc2","REST",6.51516293731043,"Nfatc2"
"123","chr2_168610547_168611408_Nfatc2","REST",8.788690629045,"Nfatc2"
"124","chr2_168643189_168644099_Nfatc2","REST",7.78732938721407,"Nfatc2"
"125","chr2_116066930_116067722_Meis2","REST",11.1891922319672,"Meis2"
"126","chr3_99245059_99245954_Tbx15","REST",7.30387196936194,"Tbx15"
"127","chr9_44711281_44712149_Kmt2a","REST",11.1179087040083,"Kmt2a"
"128","chr12_35712342_35713257_Ahr","REST",15.9647147946778,"Ahr"
"129","chr16_87784162_87785054_Bach1","REST",9.76959031651047,"Bach1"
"130","chr16_87725715_87726590_Bach1","REST",8.33315016714449,"Bach1"
"131","chr17_86525708_86526622_Epas1","REST",9.12630610362705,"Epas1"
"132","chr17_86964339_86965218_Epas1","REST",6.41971208779174,"Epas1"
"133","chr19_28621360_28622273_Glis3","REST",10.6067751243637,"Glis3"
"134","chr19_28520500_28521416_Glis3","REST",6.72117346428296,"Glis3"
"135","chr5_136687295_136688211_Cux1","REST",12.612137411986,"Cux1"
"136","chr8_84743731_84744632_Nfix","REST",9.46027528771494,"Nfix"
"137","chr4_82464073_82465001_Nfib","REST",6.6687164171843,"Nfib"
"138","chr4_82589214_82590092_Nfib","REST",7.14548343250819,"Nfib"
"139","chr4_82512822_82513711_Nfib","REST",7.50578418287509,"Nfib"
"140","chr4_82553551_82554438_Nfib","REST",12.8403187027746,"Nfib"
"141","chr4_98003687_98004638_Nfia","REST",8.11679026945573,"Nfia"
"142","chr19_41628947_41629794_Lcor","REST",8.49888959217051,"Lcor"
"143","chr7_116286683_116287528_Sox6","REST",6.62829441393015,"Sox6"
"144","chr9_37359292_37359984_Pknox2","REST",6.96947306026629,"Pknox2"
"145","chr4_154636756_154637324_Prdm16","REST",7.37877465619088,"Prdm16"
"146","chr9_63757738_63758644_Smad3","REST",7.71882691463948,"Smad3"
"147","chr1_39409996_39410921_Npas2","NFATC2",12.5563108191374,"Npas2"
"148","chr1_52055484_52056360_Stat1","NFATC2",12.5563108191374,"Stat1"
"149","chr1_85810513_85811366_Sp100","NFATC2",12.5563108191374,"Sp100"
"150","chr1_85828734_85829649_Sp100","NFATC2",12.5563108191374,"Sp100"
"151","chr10_128143401_128144302_Stat2","NFATC2",12.5563108191374,"Stat2"
"152","chr14_16554033_16554940_Rarb","NFATC2",12.5563108191374,"Rarb"
"153","chr14_17685268_17686173_Thrb","NFATC2",12.5563108191374,"Thrb"
"154","chr15_37040885_37041810_Grhl2","NFATC2",12.5563108191374,"Grhl2"
"155","chr16_93020537_93021419_Runx1","NFATC2",12.5563108191374,"Runx1"
