"","regulatory regions","TF motif","motif score","Target_gene"
"1","chr1_52250772_52251614_Stat1","PPARG",15.4249156013855,"Stat1"
"2","chr10_42293662_42294468_Foxo3","PPARG",16.3556168180363,"Foxo3"
"3","chr10_42144985_42145901_Foxo3","PPARG",13.3147622642435,"Foxo3"
"4","chr19_55758805_55759698_Tcf7l2","PPARG",11.0980809466846,"Tcf7l2"
"5","chr2_103117062_103117964_Ehf","PPARG",14.4157598482456,"Ehf"
"6","chr6_72736650_72737562_Tcf7l1","PPARG",13.0343075006305,"Tcf7l1"
"7","chr6_72623733_72624668_Tcf7l1","PPARG",12.6619439374946,"Tcf7l1"
"8","chr6_72650083_72650981_Tcf7l1","PPARG",11.532732281279,"Tcf7l1"
"9","chr7_112444365_112445213_Tead1","PPARG",13.2454788784204,"Tead1"
"10","chr1_64318947_64319848_Creb1","PPARG",10.2687607170442,"Creb1"
"11","chr1_190078560_190079464_Prox1","PPARG",10.2964928644983,"Prox1"
"12","chr10_57499390_57500288_Hsf2","PPARG",10.8905553717638,"Hsf2"
"13","chr12_73110153_73111102_Six4","PPARG",11.0839015456988,"Six4"
"14","chr16_50594630_50595552_Bbx","PPARG",12.566873493535,"Bbx"
"15","chr19_41347059_41347958_Lcor","PPARG",12.5848058822004,"Lcor"
"16","chr5_122026506_122027336_Cux2","PPARG",11.2372172132098,"Cux2"
"17","chr1_168367357_168368266_Pbx1","PPARG",10.5852981762189,"Pbx1"
"18","chr1_168362229_168363148_Pbx1","PPARG",19.1631328506345,"Pbx1"
"19","chr6_115127038_115127949_Pparg","PPARG",11.6280140992047,"Pparg"
"20","chr12_73110153_73111102_Six1","PPARG",11.0839015456988,"Six1"
"21","chr18_5817539_5818092_Zeb1","PPARG",13.2626546087212,"Zeb1"
"22","chr18_5440315_5441168_Zeb1","PPARG",17.3227179536147,"Zeb1"
"23","chr18_34864938_34865756_Egr1","PPARG",12.2586858386163,"Egr1"
"24","chr18_34624317_34625070_Egr1","PPARG",20.4133618634494,"Egr1"
"25","chr19_19109851_19110512_Rorb","PPARG",10.0291376896753,"Rorb"
"26","chr2_33875080_33875948_Lmx1b","PPARG",12.6464002522636,"Lmx1b"
"27","chr2_33444020_33444877_Lmx1b","PPARG",10.6086742949237,"Lmx1b"
"28","chr2_168589925_168590769_Nfatc2","PPARG",10.1403334430654,"Nfatc2"
"29","chr2_168528653_168529519_Nfatc2","PPARG",10.173583577716,"Nfatc2"
"30","chr2_168677464_168678298_Nfatc2","PPARG",10.6853455817271,"Nfatc2"
"31","chr10_128033088_128033928_Stat2","PPARG",15.2160072405575,"Stat2"
"32","chr12_85569627_85570535_Fos","PPARG",15.1277623698694,"Fos"
"33","chr16_30282686_30283449_Hes1","PPARG",10.663086642909,"Hes1"
"34","chr16_29943730_29944630_Hes1","PPARG",12.9742718773758,"Hes1"
