"","regulatory regions","TF motif","motif score","Target_gene"
"1","chr5_136394557_136395437_Cux1","PPARG",9.43222212250294,"Cux1"
"2","chr6_72736650_72737562_Tcf7l1","PPARG",13.1684073591107,"Tcf7l1"
"3","chr6_72740374_72741224_Tcf7l1","PPARG",9.30686521480979,"Tcf7l1"
"4","chr9_63968292_63969164_Smad3","PPARG",9.96922174659714,"Smad3"
"5","chr16_50594630_50595552_Bbx","PPARG",12.5145255238461,"Bbx"
"6","chr5_122026506_122027336_Cux2","PPARG",11.184869243521,"Cux2"
"7","chr6_115127038_115127949_Pparg","PPARG",11.6460846835284,"Pparg"
"8","chr2_33874109_33874942_Lmx1b","PPARG",9.42251702460617,"Lmx1b"
"9","chr2_33875080_33875948_Lmx1b","PPARG",12.8497861363174,"Lmx1b"
"10","chr7_19282250_19283088_Fosb","PPARG",13.7158841644044,"Fosb"
"11","chr10_87493199_87494036_Ascl1","PPARG",14.2723894198134,"Ascl1"
"12","chr16_92616619_92617511_Runx1","PBX1",12.3836225434482,"Runx1"
"13","chr7_112823399_112824313_Tead1","PBX1",11.2062842629465,"Tead1"
"14","chr9_63698498_63699390_Smad3","PBX1",13.1309470403216,"Smad3"
"15","chr12_73046310_73047228_Six4","PBX1",13.975181617693,"Six4"
"16","chr5_122280677_122281225_Cux2","PBX1",12.75581512541,"Cux2"
"17","chr1_168583880_168584796_Pbx1","PBX1",13.3634493843243,"Pbx1"
"18","chr6_115127038_115127949_Pparg","PBX1",11.9543344795325,"Pparg"
"19","chr9_44914472_44915382_Kmt2a","PBX1",12.6079854275036,"Kmt2a"
"20","chr12_73046310_73047228_Six1","PBX1",13.975181617693,"Six1"
"21","chr17_86731819_86732726_Epas1","PBX1",15.1619690184357,"Epas1"
"22","chr19_28621360_28622273_Glis3","PBX1",11.4202675163242,"Glis3"
"23","chr1_85810513_85811366_Sp100","RORA",12.9203560103498,"Sp100"
"24","chr10_42088784_42089626_Foxo3","RORA",12.8084520583187,"Foxo3"
"25","chr10_42251011_42251888_Foxo3","RORA",13.3863460116812,"Foxo3"
"26","chr12_35712342_35713257_Ahr","RORA",13.079269700889,"Ahr"
"27","chr15_36993232_36994148_Grhl2","RORA",13.8727875539928,"Grhl2"
"28","chr16_92673920_92674806_Runx1","RORA",13.0380993765101,"Runx1"
"29","chr16_92656525_92657434_Runx1","RORA",14.9173256993566,"Runx1"
"30","chr16_92616619_92617511_Runx1","RORA",13.0380993765101,"Runx1"
"31","chr2_103466910_103467811_Ehf","RORA",13.3863460116812,"Ehf"
"32","chr4_154496858_154497698_Prdm16","RORA",12.0713043023791,"Prdm16"
"33","chr4_154526034_154526936_Prdm16","RORA",14.6128506250831,"Prdm16"
"34","chr5_77383954_77384814_Rest","RORA",12.1714095127926,"Rest"
"35","chr5_77126155_77127056_Rest","RORA",13.079269700889,"Rest"
"36","chr5_136394557_136395437_Cux1","RORA",14.6128506250831,"Cux1"
"37","chr6_144620882_144621778_Sox5","RORA",12.3418078663174,"Sox5"
"38","chr6_144919469_144920366_Sox5","RORA",12.760399892927,"Sox5"
"39","chr8_84656569_84657470_Nfix","RORA",13.3863460116812,"Nfix"
"40","chr9_63612505_63613394_Smad3","RORA",12.2891528789529,"Smad3"
"41","chr9_63563192_63564081_Smad3","RORA",14.9173256993566,"Smad3"
"42","chr12_73035322_73036124_Six4","RORA",12.319827301541,"Six4"
"43","chr19_41628947_41629794_Lcor","RORA",12.9431721837765,"Lcor"
"44","chr5_121853508_121854406_Cux2","RORA",12.9203560103498,"Cux2"
"45","chr5_122026506_122027336_Cux2","RORA",14.0000016446384,"Cux2"
"46","chr6_115127038_115127949_Pparg","RORA",14.6128506250831,"Pparg"
"47","chr12_73035322_73036124_Six1","RORA",12.319827301541,"Six1"
"48","chr18_35021905_35022746_Egr1","RORA",12.9431721837765,"Egr1"
"49","chr2_33874109_33874942_Lmx1b","RORA",12.319827301541,"Lmx1b"
"50","chr2_33582329_33583245_Lmx1b","RORA",14.1024348721842,"Lmx1b"
"51","chr12_85684283_85685151_Fos","RORA",12.4361643199089,"Fos"
"52","chr16_30066568_30067446_Hes1","RORA",12.760399892927,"Hes1"
"53","chr16_30008537_30009411_Hes1","RORA",12.8084520583187,"Hes1"
"54","chr2_75772323_75773240_Nfe2l2","RORA",12.7406393941824,"Nfe2l2"
