Cell,ELF5,ZBTB18,MECOM,TEAD4,GLIS3,SIX1,EBF3,CD44,RORA,KMT2A,ETS1,NFKB1,SP110,ZBTB7A,CUX2,PRDM16,NEUROG2,SOX9,FOS,GATA6,NFATC2,TCF7L2,PROX1,STAT4,FOXP1,STAT1,RUNX2,MEIS2,GRHL2,FOSB,ARID5B,CREB1,REL,NFE2L2,PPARG,JUN,ICAM1,RARB,NFIB,REST,SIX4,ZBTB20,NCAM1,TCF4,CUX1,PLAGL1,RARG,SOX6,ZEB1,BBX,EHF,JUND,FOXO3,BCL6,BACH1,CD24,JUNB,RUNX1,PBX1,NPAS2,SMAD3,NR3C2,LMX1B,AHR,EPCAM,NR2F2,TBX15,TCF7L1,ESR1,TEAD1,SP100,RORB,TCF12,SOX5,EPAS1,BACH2,PKNOX2,HSF2,EGR1,LCOR,NFIA,STAT2,HIF1A,NFIX,THRB,ASCL1
PleuralEffusion_122293352876461,3.6586346e-08,0.053398546,0.20461497,0.009433296,0.0030230253,0.9971491,1.3488243e-05,0.098408595,0.14267753,0.5042047,0.02020001,0.035201713,0.029521639,0.12538952,7.2471157e-06,0.0017047843,0.27638838,0.124174565,0.5102547,5.91027e-06,0.013715495,0.07330468,0.15575388,0.015443337,0.2925719,0.16332825,0.006915286,0.24219818,0.09358135,0.013325258,0.06951788,0.3547245,0.08861032,0.42612275,0.0046505677,1.011437,0.022104824,0.0015586888,1.9645914,0.033723984,0.057626285,0.71780616,0.31130946,1.7752862,0.5270188,0.0121232895,0.0012296635,0.016104849,0.18307129,0.66140616,0.020673756,0.3590145,0.24485931,0.14541145,0.033012286,2.197097,1.0154463,0.063897386,0.25590685,1.8324027e-06,0.031424314,0.0173764,2.694807e-06,0.01912498,2.2961624,0.3129298,0.0032476129,0.07051114,0.002707838,0.14514028,0.040584568,1.3084261e-05,0.6170109,0.018613415,0.006416816,0.015223193,0.0042682895,0.27437013,0.2827416,0.1548688,1.0223064,0.09358359,0.60333186,0.4423234,0.0031239998,1.4218574
PleuralEffusion_204825324280747,9.089888e-06,0.059728563,0.14740363,0.0066115223,0.00202827,0.763022,0.0004493756,0.06324863,0.1416417,0.3461661,0.012235415,0.03338099,0.02655679,0.06503029,6.0333514e-05,0.00028324424,0.2438624,0.104672715,0.39976087,0.00050523796,0.017724253,0.05934276,0.15385237,0.019042473,0.29844773,0.17351076,0.007313431,0.24699053,0.08374847,0.035119116,0.0681263,0.29178822,0.0683786,0.3203479,0.021318588,1.0494992,0.032241546,0.00026509,1.6981865,0.036759265,0.05332465,0.6392137,0.24166083,1.6127498,0.43236965,0.0017560087,0.00056888186,0.027634803,0.15655906,0.6215359,0.0074660345,0.3303658,0.23505454,0.15581381,0.019406492,2.0245087,0.78378195,0.083569825,0.22864789,0.00012771413,0.024990423,0.003852589,2.1054475e-05,0.028769633,1.6352311,0.23861755,0.0014223396,0.045335785,0.0032052938,0.10609278,0.03998529,0.00077587925,0.37310094,0.03679798,0.008865073,0.011385055,5.273387e-05,0.1995884,0.21956745,0.18857707,1.1782135,0.074235745,0.41674227,0.35810503,0.014934597,1.1159221
PleuralEffusion_236175645666716,1.5552965e-07,0.062045984,0.15347339,0.0076684123,0.0029690298,0.8777569,9.581586e-05,0.07954397,0.14115727,0.4196257,0.016884008,0.0397936,0.02559665,0.08104846,9.844273e-06,0.000678852,0.26425242,0.11281605,0.4507521,8.899646e-05,0.020333685,0.053862713,0.1565711,0.019752529,0.30678046,0.16656178,0.009687264,0.25328252,0.07888962,0.017027028,0.079627834,0.346835,0.07723391,0.3586777,0.010356701,0.99321115,0.020358587,0.00034925772,1.8363101,0.035763197,0.05054946,0.7063846,0.28520134,1.8285397,0.4995598,0.00604676,0.0010341745,0.026756033,0.16107088,0.6632789,0.009089611,0.32340914,0.23875919,0.15023266,0.02065637,2.244398,0.85662085,0.06830917,0.25344193,1.7013233e-05,0.024800569,0.007102352,3.6284712e-06,0.021715917,1.8663332,0.29783952,0.0031269742,0.04867344,0.0046567908,0.13110784,0.03949318,0.00014430018,0.46892372,0.029598834,0.0073942295,0.009270236,0.0004996895,0.22955614,0.2572243,0.1729502,1.2363416,0.072725214,0.4726266,0.43177822,0.009071669,1.3064535
PleuralEffusion_126149071650094,2.5490476e-06,0.06405526,0.14697695,0.0148070585,0.007345334,0.930642,0.00015656587,0.0952216,0.15034465,0.47570497,0.016721763,0.03405759,0.029562376,0.09775938,6.680657e-05,0.00057704013,0.24497785,0.124551564,0.51734346,0.00010040174,0.021632722,0.08689239,0.15610215,0.020072564,0.30058813,0.17063773,0.009745471,0.25989002,0.08241015,0.025392951,0.069475584,0.31987837,0.07958653,0.37910834,0.009999923,1.1285913,0.022446651,0.001109899,1.800208,0.05154405,0.061228927,0.6615482,0.2877377,1.6159492,0.5119384,0.0068389075,0.0016794688,0.021013077,0.1509162,0.65890676,0.011688969,0.3399168,0.25065735,0.17317444,0.029270777,2.051552,0.9385597,0.08719706,0.25544134,3.9229133e-05,0.034175966,0.0115974955,2.0986716e-05,0.025916867,2.068511,0.2664568,0.0021715404,0.04597656,0.006053078,0.13667302,0.04013718,0.00019717043,0.5191198,0.023971012,0.00910261,0.012385807,0.0011809998,0.23408851,0.29407588,0.17071716,0.9958057,0.07755438,0.4969379,0.38057154,0.0077796644,1.1553078
PleuralEffusion_235069798038316,0.0002722334,0.0755022,0.1500325,0.0116976295,0.004578039,0.88588333,0.0018467286,0.0843792,0.14573033,0.45198748,0.018757548,0.03653122,0.02489552,0.08952411,0.0005659869,0.0011074599,0.24781223,0.11086372,0.49869817,0.00084952416,0.019468918,0.072592825,0.1751188,0.019018812,0.31963697,0.16717157,0.008587803,0.263391,0.077160634,0.041428708,0.072256394,0.32414013,0.08108753,0.36192167,0.013293279,1.2072343,0.025508331,0.0013947843,1.7489854,0.050058566,0.06110848,0.6527256,0.30106896,1.6510209,0.4864351,0.005319408,0.0015763358,0.031576194,0.16140018,0.66444737,0.012037518,0.39825103,0.25472885,0.17489932,0.031373177,2.0399559,0.85497916,0.086826846,0.26408318,0.00022053583,0.039735716,0.008900432,0.000159998,0.024714068,1.8577472,0.27882257,0.0035091643,0.045153335,0.0040699095,0.13853809,0.041993387,0.0025012775,0.48578584,0.03295149,0.011326399,0.01734666,0.00074254983,0.23218507,0.26844767,0.18805297,1.0741473,0.07520245,0.49756846,0.3719147,0.01321219,1.16715
PleuralEffusion_200363939322269,0.0016951845,0.08838472,0.07279135,0.011750015,0.01789205,0.36670065,0.020002766,0.10774761,0.10744576,0.3856389,0.05053504,0.036224425,0.016891127,0.118863955,0.0034437603,0.015772691,0.06674742,0.09057004,0.8513777,0.011787521,0.029188473,0.069343954,0.20418216,0.01958668,0.29051676,0.13656399,0.01614713,0.18966417,0.037228804,0.2217615,0.04453412,0.12070935,0.09142611,0.24493758,0.009663583,1.4964178,0.054528676,0.0076580574,0.644264,0.043798704,0.047164407,0.39015955,0.19013533,0.5690332,0.18300147,0.010458482,0.002159508,0.034485925,0.14933942,0.24864747,0.07787467,1.2211038,0.17126259,0.17491663,0.052993692,1.4382042,0.7391115,0.095845684,0.24379891,0.008693426,0.025864689,0.004287062,7.0058726e-05,0.04106653,0.9376338,0.19061422,0.0056214463,0.009529164,0.0012582712,0.16199337,0.042289056,0.01048946,0.13240567,0.04041475,0.04817454,0.018584145,0.00029209332,0.13117787,0.27678138,0.1765127,0.30524385,0.07869398,0.31316727,0.17273077,0.010656309,1.1342856
PleuralEffusion_204351817050036,0.0014845403,0.13097127,0.1254444,0.014865726,0.019022105,0.7769835,0.012836917,0.10153932,0.15484829,0.47703892,0.03621417,0.03427172,0.021166367,0.14389127,0.0033055823,0.009769578,0.15973142,0.1025869,0.8081209,0.00868884,0.014578165,0.09565347,0.21237409,0.019611418,0.3649947,0.1547396,0.011159267,0.27746525,0.06732659,0.16632965,0.07569868,0.21981381,0.10229546,0.33654776,0.023080446,1.8497907,0.0770065,0.005884945,1.2266971,0.08212871,0.10248108,0.5159821,0.23700976,1.1399144,0.344082,0.0062909974,0.002843821,0.04956132,0.20017198,0.5775589,0.04228192,0.8397336,0.3176483,0.18214673,0.06844279,1.6133435,0.8903458,0.13311648,0.2735436,0.0038031172,0.06107893,0.0060553085,0.00048386215,0.04332533,1.3878657,0.24266003,0.006823717,0.027239611,0.0032852779,0.14168128,0.04514255,0.012068896,0.31243828,0.04230148,0.029335892,0.04456889,0.00058064883,0.27637067,0.30834147,0.2491987,0.7226394,0.07615674,0.5067331,0.24559323,0.030258315,0.88789403
PleuralEffusion_197206083758939,0.0,0.05189036,0.23466417,0.0070314175,0.0014871155,1.0174035,7.745213e-05,0.1133742,0.13978848,0.5292968,0.015979454,0.029935224,0.030189551,0.12145104,4.7163474e-05,0.0011712622,0.2856738,0.1265267,0.53637075,1.8282e-05,0.0071386658,0.08913724,0.16512315,0.014210496,0.30599418,0.16530053,0.007035738,0.23596482,0.08931845,0.023083877,0.059753522,0.37051037,0.10561205,0.44544527,0.0029056517,1.0499169,0.019471502,0.0015770749,1.9670333,0.032611165,0.06699606,0.6717158,0.3513883,1.7323508,0.528625,0.012185024,0.00092732336,0.01777148,0.17656793,0.6140567,0.018360602,0.36761656,0.2420473,0.12721817,0.035170663,1.9960277,1.0957024,0.06358857,0.2519201,2.3505052e-06,0.03583774,0.021300923,7.913635e-06,0.018071884,2.3940132,0.2858621,0.001897241,0.0911341,0.0011489624,0.14352173,0.03935495,3.4122877e-05,0.65614015,0.01968654,0.007157265,0.016713958,0.005350451,0.32565835,0.27259225,0.17644772,0.86639595,0.09638276,0.6486283,0.38797602,0.005286799,1.4588552
PleuralEffusion_125239727114077,2.2205152e-06,0.046227917,0.24831982,0.004853433,0.0014705734,1.0173999,5.958908e-05,0.12635379,0.14279985,0.5370228,0.011210314,0.025678024,0.023451097,0.112327255,4.325523e-05,0.00057527836,0.2906319,0.12392587,0.5365475,2.6948053e-05,0.0071018497,0.08598675,0.19824354,0.012434159,0.31250638,0.16831917,0.009372975,0.24826619,0.07908802,0.02993507,0.05303637,0.3941083,0.12790658,0.45481437,0.0017398464,1.0642666,0.01670088,0.0013690157,1.9725385,0.02761772,0.06900981,0.66182715,0.39856592,1.7624842,0.5620717,0.013601083,0.00080747093,0.02137647,0.17666905,0.61498797,0.011338047,0.37620705,0.23874195,0.12922426,0.029283421,2.0058937,1.1001064,0.05658175,0.25792247,1.7727523e-05,0.040712032,0.019035343,1.6792605e-05,0.01520522,2.4222498,0.29495093,0.0029519114,0.100027725,0.0009156979,0.14178847,0.036165956,0.00016822782,0.6768533,0.025078643,0.008315478,0.014610713,0.004305957,0.34985554,0.25809717,0.18084328,0.84251565,0.09423054,0.65711516,0.38872027,0.004994631,1.4835696
PleuralEffusion_169082638416181,5.0243386e-07,0.06422654,0.17329617,0.0080664735,0.0028378814,0.9410643,0.0001120903,0.09036395,0.14786965,0.48754233,0.019730518,0.04071701,0.027190775,0.10842377,4.337401e-05,0.0011464854,0.27745062,0.12276382,0.46930772,3.5587153e-05,0.020720465,0.06664949,0.16700213,0.023424426,0.31465307,0.1708433,0.008876596,0.2729758,0.08728162,0.015809603,0.07533601,0.3480579,0.086353704,0.38747707,0.0087227225,1.0435206,0.02250395,0.001541891,1.9315711,0.03900294,0.057855655,0.7309315,0.32015115,1.8283384,0.52695066,0.0067407805,0.0014963162,0.022689842,0.17569552,0.6937583,0.012881754,0.35693046,0.25766316,0.17671691,0.02758555,2.2127323,0.93550324,0.070811674,0.26787487,2.4837405e-05,0.03504895,0.0093162935,9.812318e-06,0.019690046,2.0084527,0.31969586,0.0031914026,0.0516343,0.0035108163,0.15719599,0.03932761,0.00021220266,0.5382109,0.026977688,0.0066326493,0.015400816,0.001146215,0.24430144,0.26099998,0.16731077,1.162755,0.0845484,0.5291828,0.45280495,0.006325475,1.3494914
