Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SUZ12 20075857 ChIP-Seq MESCs Mouse	144/4356	3.0069212645922634E-24	1.9033811604869027E-21	0	0	3.416377171215881	185.034832767352	PREP;AHR;RORB;SLC4A4;RIMS2;ALCAM;SCN9A;NRCAM;RGS7;IGFBP5;LIMCH1;CACNA2D1;DAPK2;COL23A1;CACNA2D3;ZFP618;PRKCA;ATP11A;TC2N;RUNX1;GPRIN3;EML5;TCERG1L;CLIP4;ZFPM2;TOX;RAI14;NOTCH3;KHDRBS3;EPAS1;HSPA4L;CACNA1A;CPLX2;LTBP1;NALCN;NPAS2;RAP1GAP;SEL1L3;ZFP36L1;DPP4;FAM171A1;CDH20;PRDM16;PLXNA2;STXBP6;TRPM6;MPDZ;ATP6V1C2;TMEM132D;PTPRN2;SYT1;AUTS2;ATP8B1;NFATC2;ARHGAP29;SMAD6;ARHGAP24;GNAO1;FAM135A;FGF14;BCL6;KITL;WNK2;BCL2;SDC1;SPATS2L;PAM;CPEB2;PTPRT;GABRB3;RYR2;SNAP25;ARHGAP8;ZFP521;SH2D4A;DOCK8;PDE3B;CHD7;FMN2;TSPAN11;SMPD3;UNC80;GRM5;PCLO;ATP7B;MECOM;NETO1;RASGEF1B;DNER;CTSH;LRRFIP1;RNF152;ABCC3;GRID2;PROX1;OSMR;E330009J07RIK;PARD3B;DNM3;MDFIC;DNAJC6;PITPNM3;RARB;CDH13;KIFC3;MET;ANK;RAPGEF4;NLGN1;NFIX;NRXN1;SEMA3A;PON2;NTN4;FIGN;SEMA3E;NOD1;NOL4;EGFR;PTPRZ1;PALMD;PAK6;NCAM1;ACSS1;SAMD4;RUNX1T1;PPP1R14C;EYA1;PCDH9;PLCL2;CADPS;4930523C07RIK;PLXDC2;PTPN13;MEIS2;PTPN14;DHRS3;STXBP5L;FRAS1;NFIA;PPP2R2B;RIMBP2;SNTB1;HCN1
ZNF217 24962896 ChIP-Seq MCF-7 Human	79/1522	2.3970189147305793E-23	7.586564865122284E-21	0	0	4.543507843507843	236.64965690812332	CHD7;PTPRK;AHR;IKZF2;HNMT;ROBO1;SYNE1;SMPD3;RIMS2;ALCAM;MECOM;KIF5B;NRCAM;RGS7;ABCC3;EPHA4;SLC38A1;ANXA2;DAPK1;LIMCH1;DAPK2;MYOF;MTUS1;CACNA2D3;PRKCA;ATP1B1;RUNX1;PARD3B;DNM3;POR;MALAT1;MCTP2;MET;RAPGEF4;RAI14;DDC;SEMA3A;MGST1;NTN4;FIGN;SEMA3E;IQGAP2;CPLX2;LPP;LTBP1;NPAS2;FUT8;PRDM16;ACSS1;MPDZ;CD55;RUNX1T1;GABRP;PTPRN2;SMAD3;SYT1;AUTS2;EYA2;LRBA;NFATC2;PLXDC2;CP;ESR1;ARHGAP24;BMP5;SMAD7;NFASC;FRAS1;NFIA;BCL6;WNK2;MYO5C;SLCO4C1;DMXL2;SDC1;SPATS2L;PAM;SNTB1;LRP11
SMAD4 21799915 ChIP-Seq A2780 Human	99/2464	2.755637303750889E-21	5.814394710914376E-19	0	0	3.6284651162790698	171.77385433026308	CYFIP2;IKZF2;FGF1;SLC4A4;SLC8A1;CDC14A;RIMS2;ALCAM;KIF5B;SCN9A;TNR;NRCAM;NCKAP5;SOX5;MAGI1;DAPK1;LIMCH1;COL23A1;CACNA2D3;PRKCA;ATP1B1;CYP39A1;GPRIN3;TCERG1L;MAOB;EPAS1;CACNA1C;LPP;LTBP1;ZFP36L1;PKHD1;FUT8;IRAK2;PLXNA2;UTP20;WWTR1;PTPRN2;SYT1;AUTS2;LRBA;MICAL3;NFATC2;BMP5;GNAO1;CCDC88A;AHI1;SDC1;SPATS2L;CPEB2;PTPRT;GABRB3;PCSK1;RYR2;DOCK8;CHD7;ELAVL4;FMN2;ROBO1;SYNE1;UNC80;PCLO;RASGEF1B;GPR39;GRID2;DST;PROX1;PARD3B;DNM3;DNAJC6;PITPNM3;CDH13;NAF1;DOCK1;MET;SP100;NLGN1;LRP1;NRXN1;FIGN;NOL4;EGFR;STOX2;PTPRZ1;DMD;CD55;E2F7;PPP1R14C;CADPS;PLXDC2;MEIS2;PTPN14;VEGFA;MYO1D;NFASC;FRAS1;NFIA;PPP2R2B;SNTB1;HCN1
SMARCD1 25818293 ChIP-Seq ESCs Mouse	89/2119	3.496918916174913E-20	5.5338741848468E-18	0	0	3.689230588787239	165.2768647989661	CYFIP2;PTPRT;GABRB3;ZFP521;WWC2;CELF4;PTPRK;RORB;HNMT;SLC4A4;TSPAN11;SLC4A5;ROBO1;RIMS2;GRM5;MECOM;TNR;LRRFIP1;NCKAP5;SLC18A1;SOX5;RGS7;MAGI1;GPR39;GRID2;DST;DAPK1;CACNA2D1;COL23A1;MYOF;MTUS1;CACNA2D3;ATP1B1;RUNX1;PARD3B;DNM3;EML5;COL4A5;CDH13;ZFPM2;TOX;MCTP2;DOCK1;RAI14;RBM47;NLGN1;NFIX;NRXN1;PON2;NEDD4L;AKR1C19;CACNA1A;FIGN;SEMA3E;LPP;LTBP1;NALCN;STOX2;FUT8;AGMO;PLXNA2;PAK6;DMD;MPDZ;ATP6V1C2;SAMD4;ZFP462;TMEM132D;WWTR1;PTPRN2;SYT1;AUTS2;PCDH9;LRBA;PLCL2;KCNJ15;RASSF9;ARHGAP24;STXBP5L;MYO1D;MAP3K15;NFASC;FGF14;FRAS1;WNK2;BCL2;B430010I23RIK;UNC79;HCN1
WT1 25993318 ChIP-Seq PODOCYTE Human	115/3464	1.974684471236434E-18	2.2435008809217463E-16	0	0	3.0516572111077935	124.40423337353143	CYFIP2;IKZF2;FGF1;SLC4A5;SLC8A1;CDC14A;ALCAM;TNR;NCKAP5;MAGI1;EPHA4;ST6GAL1;IGFBP5;DAPK1;DAPK2;COL23A1;CACNA2D3;PRKCA;ATP11A;ATP1B1;MOB3B;RUNX1;POR;TCERG1L;MALAT1;FREM1;NOTCH3;KHDRBS3;NEDD4L;CACNA1A;CACNA1C;CPLX2;LPP;LTBP1;ZFP36L1;PKHD1;TMEM245;FUT8;IRAK2;PRDM16;PLXNA2;STXBP6;TRPM6;MPDZ;ZFP462;TMEM132D;WWTR1;PTPRN2;SMAD3;ATP8B1;LRBA;MICAL3;DCLK2;ARHGAP29;SMAD6;ESR1;ACSF2;SMAD7;AHI1;PEX5L;WNK2;MYO5C;DMXL2;BCL2;PAM;CPEB2;PTPRT;SH2D4A;DOCK8;PSIP1;TSPAN11;ROBO1;SYNE1;RASGEF1B;DNER;LRRFIP1;SLC18A1;ABCC3;SFTPB;GRID2;DST;MYOF;PROX1;OSMR;E330009J07RIK;PARD3B;DNM3;PITPNM3;MCTP2;DDC;NLGN1;LRP1;FIGN;SEMA3E;SELENBP1;STOX2;DMD;NCAM1;CD55;SAMD4;TCF7L2;EYA1;PCDH9;EYA2;SYT14;PLXDC2;PTPN13;MEIS2;PTPN14;VEGFA;MYO1D;FRAS1;NFIA;TTC3;SNTB1
SMARCA4 23332759 ChIP-Seq OLIGODENDROCYTES Mouse	95/2522	2.1265411193571053E-18	2.2435008809217463E-16	0	0	3.3144889599844882	134.8733004410939	PTPRT;PCSK1;RAB3C;ZFP521;SH2D4A;DOCK8;PTPRK;AHR;IKZF2;FGF1;ROBO1;GRM5;ALCAM;MECOM;NETO1;KIF5B;TNR;NRCAM;MAGI1;EPHA4;ST6GAL1;SLC38A1;GRID2;DAPK1;LIMCH1;MTUS1;PRKCA;OSMR;RUNX1;PARD3B;DNM3;TCERG1L;COL8A1;CDH13;TOX;MCTP2;FREM1;DOCK1;MET;RAI14;NLGN1;KHDRBS3;NRXN1;SEMA3A;PON2;HSPA4L;NEDD4L;FIGN;SEMA3E;NOD1;SNX30;NOL4;LTBP1;NALCN;ZFP36L1;STOX2;FUT8;PTPRZ1;PALMD;CDH20;AGMO;PLXNA2;DMD;NCAM1;STXBP6;SCN3A;MPDZ;RUNX1T1;TCF7L2;PTPRN2;PPP1R14C;SYT1;PCDH9;EYA2;CADPS;MICAL3;KCNJ15;DCLK2;PPP2R3A;PLXDC2;CP;MEIS2;ST18;ARHGAP24;MYO1D;AHI1;NFASC;FAM135A;NFIA;BCL6;PPP2R2B;SLCO4C1;BCL2;SPATS2L;SNTB1
TCF4 23295773 ChIP-Seq U87 Human	121/3812	5.519283629792163E-18	4.991009339512056E-16	0	0	2.9485782300707157	117.17143792108689	RAB3C;WWC2;AHR;RORB;IKZF2;HNMT;FGF1;SLC8A1;CDC14A;EPSTI1;NRCAM;SOX5;RGS7;MAGI1;EPHA4;IGFBP5;DAPK1;LIMCH1;CACNA2D1;SWAP70;MTUS1;REV1;CACNA2D3;PRKCA;ATP1B1;EML5;POR;COL8A1;ZFPM2;TOX;FREM1;RAI14;KHDRBS3;HSPA4L;CACNA1A;CACNA1C;IQGAP2;LPP;LTBP1;NALCN;PKHD1;FUT8;TSPAN9;PLXNA2;STXBP6;TMEM132D;WWTR1;PTPRN2;AUTS2;LRBA;MICAL3;NFATC2;ESR1;ACSF2;SMAD7;CCDC88A;FGF14;DCHS2;MYO5C;BCL2;PAM;PTPRT;PCSK1;RYR2;SNAP25;ARHGAP8;SH2D4A;DOCK8;PDE3B;CHD7;PTPRK;ROBO1;SYNE1;NETO1;AOX1;ANXA2;VWF;DST;MYOF;PARD3B;MDFIC;PITPNM3;RARB;CDH13;NAF1;LCP1;MCTP2;DOCK1;MET;RAPGEF4;SP100;RBM47;NLGN1;NFIX;NRXN1;SEMA3A;NTN4;ASAP3;FIGN;SEMA3E;SNX30;NOL4;EGFR;DMD;E2F7;TCF7L2;EYA1;PCDH9;EYA2;PLCL2;CADPS;SYT14;PPP2R3A;MEIS2;PTPN14;STXBP5L;MYO1D;NFASC;PPP2R2B;RIMBP2;HCN1
MTF2 20144788 ChIP-Seq MESCs Mouse	103/2981	1.9824953364028558E-17	1.5686494349287596E-15	0	0	3.071806172086625	118.14040673277114	CYFIP2;RORB;SLC4A4;CDC14A;RIMS2;ALCAM;NRCAM;RGS7;EPHA4;IGFBP5;DAPK1;LIMCH1;CACNA2D1;COL23A1;MTUS1;CACNA2D3;PRKCA;ATP11A;RUNX1;TCERG1L;CLIP4;ZFPM2;TOX;EPAS1;HSPA4L;CACNA1A;NPAS2;RAP1GAP;ZFP36L1;DPP4;CDH20;PRDM16;PLXNA2;STXBP6;TRPM6;MPDZ;ATP6V1C2;TMEM132D;SMAD3;ATP8B1;NFATC2;ARHGAP29;SMAD6;ARHGAP24;SMAD7;FGF14;BCL6;KITL;WNK2;BCL2;SDC1;CPEB2;PTPRT;RYR2;ZFP521;DOCK8;PDE3B;CHD7;SMPD3;NETO1;DNER;LRRFIP1;RNF152;ABCC3;GRID2;PROX1;OSMR;E330009J07RIK;PARD3B;CLDN10;MDFIC;PITPNM3;RARB;CDH13;ANK;RAPGEF4;NLGN1;NFIX;PON2;NTN4;FIGN;NOD1;NOL4;EGFR;STOX2;PTPRZ1;NCAM1;ACSS1;SAMD4;RUNX1T1;PPP1R14C;EYA1;PLCL2;CADPS;MEIS2;PTPN14;DHRS3;VEGFA;FRAS1;NFIA;PPP2R2B;SNTB1;HCN1
FOXA2 19822575 ChIP-Seq HepG2 Human	101/2968	1.3705471928568156E-16	9.639515256426269E-15	0	0	2.995130939672272	109.40060621610183	CYFIP2;RAB3C;WWC2;PREP;HNMT;FGF1;SLC4A5;SLC8A1;CDC14A;ALCAM;KIF5B;SCN9A;NRCAM;SOX5;RGS7;ST6GAL1;IGFBP5;DAPK1;MTUS1;CACNA2D3;PRKCA;ATP11A;RUNX1;POR;TOX;RAI14;NEDD4L;IQGAP2;CPLX2;LPP;RAP1GAP;FAM171A1;FUT8;IRAK2;PRDM16;PLXNA2;STXBP6;WWTR1;PTPRN2;SMAD3;SYT1;AUTS2;DENND4A;ATP8B1;LRBA;MICAL3;NFATC2;CP;ESR1;ST18;ACSF2;GNAO1;BCL6;PTK7;MYO5C;BCL2;SDC1;LRP11;SNAP25;SH2D4A;CHD7;PTPRK;ROBO1;SYNE1;ATP7B;CTSH;AOX1;LRRFIP1;ABCC3;GPR39;GRID2;ANXA2;DST;PROX1;PARD3B;DNM3;KIFC3;LCP1;MET;RAPGEF4;RBM47;NFIX;LRP1;PON2;NTN4;ASAP3;FIGN;SNX30;ACSS1;TCF7L2;EYA2;PLXDC2;PTPN13;MEIS2;DHRS3;MYO1D;FRAS1;NFIA;TTC6;PPP2R2B;SNTB1
AR 19668381 ChIP-Seq PC3 Human	112/3519	1.7495885186621236E-16	1.1074895323131242E-14	0	0	2.864388982105103	103.92570622378882	CYFIP2;RAB3C;IKZF2;FGF1;SLC8A1;RIMS2;KIF5B;EPSTI1;NRCAM;SOX5;RGS7;MAGI1;EPHA4;ST6GAL1;IGFBP5;DAPK1;SWAP70;COL23A1;MTUS1;CACNA2D3;PRKCA;ATP11A;TCERG1L;COL8A1;COL4A5;ZFPM2;TOX;EPAS1;NEDD4L;CACNA1A;CACNA1C;CPLX2;LPP;NPAS2;RAP1GAP;PKHD1;FUT8;TSPAN9;PRDM16;PLXNA2;STXBP6;TMEM132D;PTPRN2;SMAD3;SYT1;AUTS2;LRBA;ARHGAP29;SMAD6;ST18;ARHGAP24;GNAO1;PEX5L;FGF14;PTK7;WNK2;DMXL2;BCL2;SDC1;PAM;CPEB2;PTPRT;PCSK1;RYR2;ARHGAP8;FMN2;PTPRK;ROBO1;SYNE1;NETO1;RASGEF1B;DNER;SLC18A1;ABCC3;GRID2;VWF;PROX1;PARD3B;DNM3;CLDN10;MDFIC;PITPNM3;RARB;CDH13;MCTP2;DOCK1;RAPGEF4;SP100;NRXN1;NOL4;EGFR;DMD;NCAM1;TCF7L2;PPP1R14C;PCDH9;CADPS;SYT14;PLXDC2;MEIS2;PTPN14;DHRS3;VEGFA;MYO1D;NFASC;FRAS1;NFIA;PPP2R2B;TTC3;PDE7A;SNTB1;HCN1
OLIG2 23332759 ChIP-Seq OLIGODENDROCYTES Mouse	80/2040	2.8626098273862126E-16	1.647301837032248E-14	0	0	3.306495200820054	118.33823240150299	CYFIP2;PTPRT;PCSK1;ZFP521;SH2D4A;WWC2;ELAVL4;AHR;TSPAN11;ROBO1;ALCAM;MECOM;NETO1;KIF5B;EPSTI1;TNR;NRCAM;RNF152;SLC18A1;EPHA4;ST6GAL1;SLC38A1;GRID2;DAPK1;LIMCH1;SWAP70;MTUS1;CACNA2D3;PRKCA;PARD3B;DNM3;TCERG1L;MDFIC;DNAJC6;CLIP4;TOX;MCTP2;FREM1;NLGN1;KHDRBS3;MAOB;NRXN1;SEMA3A;HSPA4L;NEDD4L;FIGN;SEMA3E;NOD1;SNX30;CPLX2;NOL4;ZFP36L1;FUT8;PLXNA2;DMD;NCAM1;MPDZ;CD55;WWTR1;SYT1;PCDH9;ATP8B1;DCLK2;PPP2R3A;PLXDC2;MEIS2;ARHGAP24;GNAO1;MYO1D;NFASC;NFIA;SLCO4C1;RIMBP2;BCL2;SPATS2L;PDE7A;PAM;SNTB1;LRP11;HCN1
STAT3 23295773 ChIP-Seq U87 Human	104/3165	4.401680994791691E-16	2.3218867247526168E-14	0	0	2.89927039093978	102.51638890909706	RAB3C;WWC2;PREP;RORB;IKZF2;SLC4A4;CDC14A;RIMS2;ALCAM;SOX5;RGS7;MAGI1;ST6GAL1;SLC38A1;DAPK1;LIMCH1;CACNA2D1;DAPK2;COL23A1;MTUS1;REV1;CACNA2D3;PRKCA;CYP39A1;ZFPM2;TOX;FREM1;HSPA4L;MGST1;NEDD4L;CACNA1A;CACNA1C;CPLX2;LPP;LTBP1;NPAS2;PKHD1;FUT8;PLXNA2;UTP20;STXBP6;SCN3A;TMEM132D;WWTR1;PTPRN2;AUTS2;LRBA;NFATC2;ST18;ARHGAP24;BMP5;SMAD7;GNAO1;AHI1;PEX5L;FGF14;BCL6;DCHS2;WNK2;DMXL2;SPATS2L;CPEB2;LRP11;PTPRT;GABRB3;RYR2;DOCK8;PDE3B;ELAVL4;PTPRK;ROBO1;SYNE1;SMPD3;DNER;AOX1;RNF152;SLC18A1;DST;MYOF;PARD3B;MDFIC;RARB;CDH13;RAPGEF4;SP100;DDC;NLGN1;LRP1;NRXN1;NOL4;PTPRZ1;DMD;TCF7L2;PCDH9;PLCL2;CADPS;PLXDC2;MEIS2;VEGFA;STXBP5L;MYO1D;NFIA;PPP2R2B;RIMBP2
P300 19829295 ChIP-Seq ESCs Human	77/2000	3.4008670546703675E-15	1.6559606504664174E-13	0	0	3.2065747494764656	106.82622324379314	RYR2;CELF4;FMN1;FMN2;PTPRK;RORB;HNMT;FGF1;RIMS2;PCLO;MECOM;RASGEF1B;EPSTI1;NCKAP5;SOX5;MAGI1;EPHA4;GRID2;CACNA2D1;HGF;SWAP70;REV1;PROX1;PARD3B;EML5;TCERG1L;MDFIC;COL8A1;RARB;XIST;TOX;MCTP2;FREM1;RAI14;NRXN1;SEMA3A;NEDD4L;FIGN;SEMA3E;NOL4;LTBP1;FAM171A1;PTPRZ1;CDH20;PLXNA2;NCAM1;CCDC141;MPDZ;RUNX1T1;GABRP;TCF7L2;SYT1;AUTS2;EYA1;PCDH9;ATP8B1;PLCL2;CADPS;NFATC2;PLXDC2;SMAD6;PTPN13;MEIS2;PTPN14;ARHGAP24;ACSF2;STXBP5L;MYO1D;PEX5L;FGF14;FRAS1;NFIA;DCHS2;PPP2R2B;CPEB2;SNTB1;HCN1
