Cell,class
RU1215_192110488599350,RU1215
RU1231A_120703424294126,RU1231
RU1322A_LN_133924258008493,RU1322
RU1181B_169649541863334,RU1181
RU1108a_RPMI_164761076713396,RU1108
RU1231A_155914237328627,RU1231
RU1215_134396885264734,RU1215
RU1231A_134394584096091,RU1231
RU1145_170180373265117,RU1145
RU1152_125744641947573,RU1152
RU1108a_Bambanker_232318649977766,RU1108
RU1293A_191767562348387,RU1293
RU1080C_232389351167925,RU1080
RU1293A_164640683677404,RU1293
RU1144_LN_134540497901989,RU1144
RU1215_236167967390627,RU1215
RU1229A_Frozen_164710463950109,RU1229
RU1108a_Bambanker_Frozen_227364270627237,RU1108
RU1181B_226394635626294,RU1181
RU1322A_LN_162078856755548,RU1322
RU1231A_191166535358253,RU1231
RU1080C_130049272825758,RU1080
RU1229A_Frozen_165378362850604,RU1229
RU1144_LN_200994213456747,RU1144
RU1322A_LN_160921510067628,RU1322
RU1066_235548446186341,RU1066
RU1229A_Frozen_204770951223157,RU1229
RU1181B_227914129033139,RU1181
RU1108a_RPMI_129457506380510,RU1108
RU1322A_LN_199937951382750,RU1322
RU1108a_RPMI_204762093402485,RU1108
RU1144_LN_191645443341598,RU1144
RU1293A_228058935544558,RU1293
RU1229A_Frozen_156572874925811,RU1229
RU1181C_169012813293414,RU1181
RU1293A_156572856249070,RU1293
RU1080C_235128478943078,RU1080
RU1108a_RPMI_230652451450077,RU1108
RU1229A_Frozen_157697990580957,RU1229
RU1215_191227457912238,RU1215
RU1145_156933498461046,RU1145
RU1215_165371920926949,RU1215
RU1144_LN_227305182878446,RU1144
RU1066_235601986206429,RU1066
RU1293A_161943443650853,RU1293
RU1229A_Frozen_156031709309156,RU1229
RU1293A_231289985915252,RU1293
RU1181B_157002371913579,RU1181
RU1144_T_236167208495908,RU1144
RU1144_LN_170199701215972,RU1144
RU1322A_LN_129998524144931,RU1322
RU1144_LN_197188232789403,RU1144
RU1108a_Bambanker_Frozen_205449168076213,RU1108
RU1322A_LN_232328294456675,RU1322
RU1181B_227906759879011,RU1181
RU1144_T_227844233510317,RU1144
RU1108a_Bambanker_227510387325868,RU1108
RU1293A_165329207713006,RU1293
RU1108a_Bambanker_Frozen_236082095344436,RU1108
PleuralEffusion_122293352876461,PleuralEffusion
RU426B_227303182691099,RU426
RU1293A_170139154298724,RU1293
RU1124A_LN_169081814308645,RU1124
RU1195A_191097700772724,RU1195
RU1145_130531413835059,RU1145
RU1231A_156395258140469,RU1231
RU1322A_LN_169777302563229,RU1322
RU1108a_Bambanker_164769532397932,RU1108
RU1322A_LN_169081813821726,RU1322
RU1108a_Bambanker_Frozen_156933486398365,RU1108
RU1145_227516876540699,RU1145
RU1108a_Bambanker_Frozen_135571558259627,RU1108
RU1181B_236221701441884,RU1181
RU1144_LN_239407447296238,RU1144
RU1229A_Frozen_162011062946140,RU1229
RU1144_T_166264153459955,RU1144
RU1231A_134945401387235,RU1231
RU1215_169081813809523,RU1215
RU1231A_165713619929822,RU1231
RU1108a_Bambanker_227363553241454,RU1108
RU1215_165926910676268,RU1215
RU1322A_LN_227905807702243,RU1322
RU1066_236785369466789,RU1066
RU1231A_130673800570781,RU1231
RU1322A_LN_235122023909291,RU1322
PleuralEffusion_204825324280747,PleuralEffusion
RU1322A_LN_226949759945963,RU1322
RU1108a_RPMI_131234280692510,RU1108
RU426B_164693584561908,RU426
RU1108a_Bambanker_Frozen_169587518687541,RU1108
RU1080C_235600138623771,RU1080
RU1066_226953411315956,RU1066
RU1229A_Frozen_226273437338908,RU1229
RU1231A_129457538677990,RU1231
RU779D_134946238130460,RU779
RU1145_162090653992811,RU1145
RU1231A_166288849750838,RU1231
RU1293A_204222269450469,RU1293
RU1144_LN_205922673776886,RU1144
RU1080C_161452731320238,RU1080
RU1181C_165239938018539,RU1181
RU1144_T_192315305376038,RU1144
PleuralEffusion_236175645666716,PleuralEffusion
RU1080C_236718662773677,RU1080
