Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SMAD4 CHEA	39/584	4.5671425945949915E-15	4.338785464865242E-13	0	0	5.272293577981651	174.09054681380272	PTPRT;GABRB3;DOCK8;CELF4;FMN2;CACNA1C;FGF1;SLC8A1;CDC14A;ROBO1;SYNE1;STOX2;FUT8;ALCAM;RASGEF1B;KIF5B;PLXNA2;TNR;NRCAM;NCKAP5;CD55;SOX5;MAGI1;GPR39;GRID2;DST;DAPK1;LIMCH1;LRBA;COL23A1;MYOF;CADPS;MICAL3;NFATC2;DHRS3;SMAD7;GNAO1;NFASC;FRAS1
SUZ12 CHEA	64/1684	2.4029078076958455E-12	1.1413812086555266E-10	0	0	3.0396217494089837	81.32307839176242	PTPRT;PCSK1;RYR2;DOCK8;PDE3B;CELF4;RORB;SLC4A4;ALCAM;ATP7B;MECOM;NETO1;NRCAM;RNF152;GRID2;IGFBP5;LIMCH1;CACNA2D1;CACNA2D3;PRKCA;PROX1;OSMR;RUNX1;PARD3B;PITPNM3;CDH13;ZFPM2;TOX;NLGN1;NFIX;EPAS1;PON2;NTN4;CPLX2;NOL4;EGFR;NPAS2;SEL1L3;DPP4;BRINP1;CDH20;PRDM16;PLXNA2;STXBP6;ATP6V1C2;TMEM132D;PPP1R14C;EYA1;ATP8B1;PLCL2;CADPS;NFATC2;SMAD6;PTPN13;DHRS3;GNAO1;FRAS1;NFIA;PPP2R2B;WNK2;BCL2;SPATS2L;CPEB2;SNTB1
AR CHEA	46/1095	2.0330735979253873E-10	6.438066393430393E-9	0	0	3.2328624664182337	72.14553575324398	PCSK1;DDC;NEDD4L;CACNA1C;IKZF2;IQGAP2;LPP;EGFR;SLC8A1;ZFP36L1;RIMS2;FAM171A1;FUT8;MECOM;NETO1;RASGEF1B;PLXNA2;STXBP6;SLC18A1;MAGI1;EPHA4;AUTS2;DAPK1;EYA2;LRBA;CACNA2D3;PRKCA;SYT14;DHRS3;GPRIN3;DNM3;MYO1D;FRAS1;MDFIC;NFIA;PPP2R2B;WNK2;PITPNM3;DMXL2;SPATS2L;COL4A5;CDH13;LCP1;TOX;PDE7A;DOCK1
NFE2L2 CHEA	42/1022	2.646293231719358E-9	6.284946425333475E-8	0	0	3.1219010561423013	61.657876644951145	RAB3C;DDC;KHDRBS3;NRXN1;PREP;SEMA3E;PTPRK;AHR;RORB;SLC4A4;LPP;NALCN;SYNE1;PCLO;PLXNA2;PAK6;AOX1;GABRP;TCF7L2;SMAD3;AUTS2;EYA1;PCDH9;DAPK1;CACNA2D1;LRBA;CACNA2D3;DCLK2;OSMR;PLXDC2;ATP1B1;ESR1;VEGFA;STXBP5L;CYP39A1;PEX5L;MDFIC;BCL6;LCP1;ZFPM2;PAM;RAI14
REST ENCODE	22/383	8.234475523858131E-8	1.5645503495330448E-6	0	0	4.254927647829435	69.4078735731585	PTPRT;SRRM3;PCSK1;RAB3C;SNAP25;PTPRN2;NRXN1;CADPS;CELF4;SYT14;CPLX2;STXBP5L;SMPD3;RIMS2;UNC80;PEX5L;PCLO;BRINP1;DNER;TNR;LRP11;HCN1
REST CHEA	43/1280	5.227432136654084E-7	8.276767549702299E-6	0	0	2.507174616006467	36.26421360670084	PTPRT;GABRB3;PCSK1;RYR2;SNAP25;KHDRBS3;LRP1;NRXN1;CELF4;ELAVL4;NEDD4L;CACNA1A;CPLX2;RIMS2;BRINP1;ATP7B;PRDM16;DNER;TNR;NRCAM;NCKAP5;E2F7;TMEM132D;EPHA4;PTPRN2;SYT1;DAPK1;EYA2;CADPS;KCNJ15;PRKCA;SYT14;ST18;GNAO1;AHI1;NFASC;FGF14;TCERG1L;DNAJC6;COL8A1;CDH13;CPEB2;LRP11
GATA1 CHEA	25/807	4.964210222235265E-4	0.006273092467254654	0	0	2.2073991449959864	16.794082876181193	NFIX;WWC2;IQGAP2;LTBP1;CDC14A;RAP1GAP;FAM171A1;PLXNA2;ACSS1;ST6GAL1;PTPRN2;SMAD3;PPP1R14C;COL23A1;MICAL3;NFATC2;PRKCA;ATP1B1;RUNX1;MYO1D;AHI1;DNAJC6;SCGB1A1;BCL2;ZFPM2
ESR1 CHEA	9/154	5.282604182951288E-4	0.006273092467254654	0	0	4.185588585017836	31.5841215518624	MAGI1;BCL6;LRP1;MYOF;BCL2;KIFC3;MPDZ;ESR1;ZFP36L1
TP63 CHEA	36/1399	0.0010200143721184238	0.01076681837236114	0	0	1.8416320518650149	12.685048426085762	EPAS1;HSPA4L;FMN1;CPLX2;EGFR;STOX2;ALCAM;PALMD;KIF5B;SCN9A;DMD;RNF152;SLC18A1;MAGI1;WWTR1;ANXA2;DST;DAPK2;MTUS1;KCNJ15;PLXDC2;ATP1B1;MEIS2;SMAD7;CLDN10;NFASC;FRAS1;NFIA;PTK7;PPP2R2B;WNK2;SDC1;SPATS2L;XIST;MET;RAPGEF4
SOX2 CHEA	21/775	0.006556598744246826	0.06228768807034485	0	0	1.8982071637120013	9.542825163808418	EPHA4;DST;EYA1;EPAS1;CACNA2D1;SEMA3A;MTUS1;NEDD4L;PROX1;ATP1B1;SMAD6;PTPN13;LPP;ZFP36L1;PTPRZ1;DNAJC6;MYO5C;SPP1;PLXNA2;CDH13;KIFC3
