,CEBPA,CJUN,EGRNAB,EKLF,FLI1,FOG1,GATA1,GATA2,GFI1,PU1,SCL
CEBPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0267125583852608,0.05982227563471459,0.0
CJUN,0.0,0.0,0.6016136438230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGRNAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09102212495051683,0.0,0.0
EKLF,0.0,0.0,0.0,0.0,-0.5760367791873146,0.0,0.0,0.0,0.0,0.0,0.0
FLI1,0.0,0.0,0.0,-0.5661686101879604,0.0,0.0,0.23081068578114958,0.0,0.0,0.0,0.0
FOG1,-0.17210628257083893,0.0,0.0,0.0,0.0,0.0,0.0,-0.39770163950234355,0.0,0.0,0.0
GATA1,-0.17706081444301494,0.0,0.0,0.7102623530213246,0.7199029390142127,0.9496611748227987,0.0,0.32389297326930067,0.0,-0.7884067398339138,0.7154133033805907
GATA2,0.0,0.0,0.0,0.0,0.0,0.0,0.017159386607305212,0.0,0.0,-0.13058803446897416,0.0
GFI1,0.0,-0.7128628356033603,-0.3530959548581256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PU1,0.0,0.7284267959526932,0.3467709432073848,0.0,0.0,0.0,-0.8137085978916497,-0.24045870969944474,0.0,0.0,-0.21410653307075211
SCL,-0.14182672562554438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
