,tf,target,key
0,Arntl,0610005C13Rik,Arntl_0610005C13Rik
2,Arntl,0610040F04Rik,Arntl_0610040F04Rik
12,Arntl,1700001L05Rik,Arntl_1700001L05Rik
16,Arntl,1700028J19Rik,Arntl_1700028J19Rik
21,Arntl,1700113A16Rik,Arntl_1700113A16Rik
25,Arntl,1810013L24Rik,Arntl_1810013L24Rik
30,Arntl,2010310C07Rik,Arntl_2010310C07Rik
33,Arntl,2310011J03Rik,Arntl_2310011J03Rik
39,Arntl,2700054A10Rik,Arntl_2700054A10Rik
41,Arntl,2900026A02Rik,Arntl_2900026A02Rik
48,Arntl,4632404H12Rik,Arntl_4632404H12Rik
50,Arntl,4831440E17Rik,Arntl_4831440E17Rik
51,Arntl,4833411C07Rik,Arntl_4833411C07Rik
56,Arntl,4930417O13Rik,Arntl_4930417O13Rik
59,Arntl,4930451G09Rik,Arntl_4930451G09Rik
64,Arntl,4930517M08Rik,Arntl_4930517M08Rik
73,Arntl,4930589L23Rik,Arntl_4930589L23Rik
81,Arntl,4933433G15Rik,Arntl_4933433G15Rik
86,Arntl,5830473C10Rik,Arntl_5830473C10Rik
87,Arntl,5930430L01Rik,Arntl_5930430L01Rik
113,Arntl,AU019990,Arntl_AU019990
116,Arntl,AW549877,Arntl_AW549877
126,Arntl,Abcf1,Arntl_Abcf1
127,Arntl,Abcf2,Arntl_Abcf2
132,Arntl,Abhd6,Arntl_Abhd6
141,Arntl,Acp5,Arntl_Acp5
143,Arntl,Acsl1,Arntl_Acsl1
158,Arntl,Adh5,Arntl_Adh5
163,Arntl,Ado,Arntl_Ado
171,Arntl,Agmat,Arntl_Agmat
176,Arntl,Ahcy,Arntl_Ahcy
178,Arntl,Aimp2,Arntl_Aimp2
200,Arntl,Alpk2,Arntl_Alpk2
208,Arntl,Angptl6,Arntl_Angptl6
210,Arntl,Ankrd12,Arntl_Ankrd12
219,Arntl,Anxa7,Arntl_Anxa7
225,Arntl,Aph1b,Arntl_Aph1b
245,Arntl,Arid3a,Arntl_Arid3a
250,Arntl,Arrb2,Arntl_Arrb2
251,Arntl,Arrdc1,Arntl_Arrdc1
253,Arntl,Arsa,Arntl_Arsa
259,Arntl,Atf3,Arntl_Atf3
264,Arntl,Atf7,Arntl_Atf7
266,Arntl,Atg3,Arntl_Atg3
269,Arntl,Atl3,Arntl_Atl3
275,Arntl,Atp6ap1l,Arntl_Atp6ap1l
277,Arntl,Atp6v0d2,Arntl_Atp6v0d2
285,Arntl,Atxn3,Arntl_Atxn3
287,Arntl,Aven,Arntl_Aven
288,Arntl,Avpi1,Arntl_Avpi1
292,Arntl,B3galnt2,Arntl_B3galnt2
305,Arntl,Bahcc1,Arntl_Bahcc1
306,Arntl,Banf1,Arntl_Banf1
310,Arntl,Bcar1,Arntl_Bcar1
319,Arntl,Bhlhe40,Arntl_Bhlhe40
320,Arntl,Bhlhe41,Arntl_Bhlhe41
329,Arntl,Bnip3,Arntl_Bnip3
331,Arntl,Bptf,Arntl_Bptf
333,Arntl,Bri3,Arntl_Bri3
334,Arntl,Brox,Arntl_Brox
335,Arntl,Brpf1,Arntl_Brpf1
337,Arntl,Bsg,Arntl_Bsg
356,Arntl,Camsap1,Arntl_Camsap1
362,Arntl,Car5a,Arntl_Car5a
363,Arntl,Carm1,Arntl_Carm1
364,Arntl,Casc3,Arntl_Casc3
367,Arntl,Cbfa2t2,Arntl_Cbfa2t2
382,Arntl,Ccdc85b,Arntl_Ccdc85b
384,Arntl,Ccdc88c,Arntl_Ccdc88c
385,Arntl,Ccdc9,Arntl_Ccdc9
387,Arntl,Ccne1,Arntl_Ccne1
388,Arntl,Ccne2,Arntl_Ccne2
390,Arntl,Ccno,Arntl_Ccno
399,Arntl,Cdk4,Arntl_Cdk4
403,Arntl,Cdyl,Arntl_Cdyl
408,Arntl,Cep85,Arntl_Cep85
412,Arntl,Cetn3,Arntl_Cetn3
415,Arntl,Cfh,Arntl_Cfh
424,Arntl,Ciart,Arntl_Ciart
430,Arntl,Clcn6,Arntl_Clcn6
434,Arntl,Cldn34d,Arntl_Cldn34d
440,Arntl,Cln6,Arntl_Cln6
450,Arntl,Cnn3,Arntl_Cnn3
451,Arntl,Cnnm2,Arntl_Cnnm2
463,Arntl,Comt,Arntl_Comt
465,Arntl,Cops7a,Arntl_Cops7a
466,Arntl,Coq10b,Arntl_Coq10b
467,Arntl,Coq8a,Arntl_Coq8a
472,Arntl,Cps1,Arntl_Cps1
473,Arntl,Crat,Arntl_Crat
477,Arntl,Crtc1,Arntl_Crtc1
478,Arntl,Cry1,Arntl_Cry1
479,Arntl,Cry2,Arntl_Cry2
493,Arntl,Cuta,Arntl_Cuta
497,Arntl,Cyp17a1,Arntl_Cyp17a1
501,Arntl,Cyp2a5,Arntl_Cyp2a5
506,Arntl,Cyp2u1,Arntl_Cyp2u1
510,Arntl,Cyp46a1,Arntl_Cyp46a1
512,Arntl,Cyth1,Arntl_Cyth1
515,Arntl,D10Wsu102e,Arntl_D10Wsu102e
516,Arntl,D630024D03Rik,Arntl_D630024D03Rik
527,Arntl,Dbp,Arntl_Dbp
532,Arntl,Dctpp1,Arntl_Dctpp1
533,Arntl,Dcun1d4,Arntl_Dcun1d4
543,Arntl,Ddx50,Arntl_Ddx50
544,Arntl,Derl3,Arntl_Derl3
545,Arntl,Dffb,Arntl_Dffb
546,Arntl,Dgat2,Arntl_Dgat2
558,Arntl,Dis3l2,Arntl_Dis3l2
560,Arntl,Dlgap4,Arntl_Dlgap4
564,Arntl,Dnajb5,Arntl_Dnajb5
566,Arntl,Dnajb9,Arntl_Dnajb9
569,Arntl,Dnajc16,Arntl_Dnajc16
573,Arntl,Dnpep,Arntl_Dnpep
575,Arntl,Dock9,Arntl_Dock9
587,Arntl,Dusp12,Arntl_Dusp12
591,Arntl,Dusp7,Arntl_Dusp7
592,Arntl,Dvl2,Arntl_Dvl2
596,Arntl,E030018B13Rik,Arntl_E030018B13Rik
597,Arntl,E030030I06Rik,Arntl_E030030I06Rik
601,Arntl,Ears2,Arntl_Ears2
604,Arntl,Ecsit,Arntl_Ecsit
610,Arntl,Eef2k,Arntl_Eef2k
613,Arntl,Efna1,Arntl_Efna1
618,Arntl,Ehmt2,Arntl_Ehmt2
621,Arntl,Eif2d,Arntl_Eif2d
622,Arntl,Eif3a,Arntl_Eif3a
625,Arntl,Eif4a1,Arntl_Eif4a1
626,Arntl,Eif4g1,Arntl_Eif4g1
627,Arntl,Eif5a2,Arntl_Eif5a2
628,Arntl,Elavl3,Arntl_Elavl3
633,Arntl,Engase,Arntl_Engase
638,Arntl,Entpd7,Arntl_Entpd7
647,Arntl,Eps15l1,Arntl_Eps15l1
650,Arntl,Ercc6,Arntl_Ercc6
654,Arntl,Ermard,Arntl_Ermard
655,Arntl,Esrra,Arntl_Esrra
656,Arntl,Etnk2,Arntl_Etnk2
658,Arntl,Eva1a,Arntl_Eva1a
681,Arntl,Fam214b,Arntl_Fam214b
687,Arntl,Fam50a,Arntl_Fam50a
690,Arntl,Fam76a,Arntl_Fam76a
693,Arntl,Fam92b,Arntl_Fam92b
697,Arntl,Fbxl22,Arntl_Fbxl22
701,Arntl,Fbxo30,Arntl_Fbxo30
712,Arntl,Fkbp2,Arntl_Fkbp2
715,Arntl,Fkbp8,Arntl_Fkbp8
719,Arntl,Fnip1,Arntl_Fnip1
725,Arntl,Foxk2,Arntl_Foxk2
727,Arntl,Foxo3,Arntl_Foxo3
731,Arntl,Frmd6,Arntl_Frmd6
736,Arntl,Fzr1,Arntl_Fzr1
743,Arntl,Gale,Arntl_Gale
758,Arntl,Gfi1b,Arntl_Gfi1b
760,Arntl,Gga2,Arntl_Gga2
762,Arntl,Gid4,Arntl_Gid4
764,Arntl,Gjb2,Arntl_Gjb2
769,Arntl,Glrx5,Arntl_Glrx5
775,Arntl,Gm10778,Arntl_Gm10778
780,Arntl,Gm12718,Arntl_Gm12718
792,Arntl,Gm17597,Arntl_Gm17597
798,Arntl,Gm29683,Arntl_Gm29683
803,Arntl,Gm3417,Arntl_Gm3417
810,Arntl,Gm525,Arntl_Gm525
812,Arntl,Gm8883,Arntl_Gm8883
815,Arntl,Gmfb,Arntl_Gmfb
823,Arntl,Gnpnat1,Arntl_Gnpnat1
825,Arntl,Golga5,Arntl_Golga5
827,Arntl,Gorasp1,Arntl_Gorasp1
830,Arntl,Gpatch3,Arntl_Gpatch3
833,Arntl,Gpi1,Arntl_Gpi1
836,Arntl,Gpr146,Arntl_Gpr146
842,Arntl,Gprc5c,Arntl_Gprc5c
843,Arntl,Gpt,Arntl_Gpt
844,Arntl,Gpt2,Arntl_Gpt2
846,Arntl,Greb1,Arntl_Greb1
853,Arntl,Gstt2,Arntl_Gstt2
860,Arntl,Gtf3a,Arntl_Gtf3a
863,Arntl,Gypc,Arntl_Gypc
864,Arntl,Gys2,Arntl_Gys2
871,Arntl,Haus8,Arntl_Haus8
874,Arntl,Hdac11,Arntl_Hdac11
877,Arntl,Hdgf,Arntl_Hdgf
882,Arntl,Herpud1,Arntl_Herpud1
883,Arntl,Hes1,Arntl_Hes1
886,Arntl,Hexb,Arntl_Hexb
889,Arntl,Hhipl1,Arntl_Hhipl1
890,Arntl,Hif1a,Arntl_Hif1a
909,Arntl,Hlf,Arntl_Hlf
911,Arntl,Hmgn2,Arntl_Hmgn2
912,Arntl,Hnf4aos,Arntl_Hnf4aos
914,Arntl,Hnrnph3,Arntl_Hnrnph3
918,Arntl,Hoga1,Arntl_Hoga1
924,Arntl,Hpf1,Arntl_Hpf1
935,Arntl,Hsdl1,Arntl_Hsdl1
942,Arntl,Htr2a,Arntl_Htr2a
946,Arntl,Iba57,Arntl_Iba57
952,Arntl,Ifrd2,Arntl_Ifrd2
959,Arntl,Igsf8,Arntl_Igsf8
962,Arntl,Il1r1,Arntl_Il1r1
964,Arntl,Ilf3,Arntl_Ilf3
974,Arntl,Inmt,Arntl_Inmt
975,Arntl,Ino80,Arntl_Ino80
977,Arntl,Insig1,Arntl_Insig1
981,Arntl,Ipo5,Arntl_Ipo5
993,Arntl,Jade1,Arntl_Jade1
994,Arntl,Jmy,Arntl_Jmy
998,Arntl,Junb,Arntl_Junb
1005,Arntl,Kdm4b,Arntl_Kdm4b
1008,Arntl,Kdm6b,Arntl_Kdm6b
1009,Arntl,Khdrbs1,Arntl_Khdrbs1
1016,Arntl,Klf11,Arntl_Klf11
1018,Arntl,Klf15,Arntl_Klf15
1019,Arntl,Klf16,Arntl_Klf16
1020,Arntl,Klf9,Arntl_Klf9
1032,Arntl,Lamp1,Arntl_Lamp1
1034,Arntl,Lamtor4,Arntl_Lamtor4
1035,Arntl,Laptm4a,Arntl_Laptm4a
1037,Arntl,Lcorl,Arntl_Lcorl
1044,Arntl,Lefty1,Arntl_Lefty1
1046,Arntl,Lekr1,Arntl_Lekr1
1048,Arntl,Leprot,Arntl_Leprot
