,CEBPA,CJUN,EKLF,FLI1,FOG1,GATA1,GATA2,GFI1,PU1,SCL
CEBPA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJUN,0.0,0.0,0.0,0.4668196883893851,0.0,0.0,0.0,0.0,0.2432502472169842,0.0
EKLF,0.0,0.0,0.0,0.0,0.0,0.5305921408088685,0.0,0.27019306698425166,0.0,0.0
FLI1,0.0,0.0,0.0,0.0,0.0,0.46940785919113154,1.0,0.47160520893076346,0.4027898623365755,0.415257765025776
FOG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATA1,0.0,0.0,0.0,0.3334713062048737,0.4748817604484727,0.0,0.0,0.0,0.0,0.5139292833881808
GATA2,0.0,0.0,0.0,0.035224513378074446,0.14437864616800375,0.0,0.0,0.0,0.0,0.0708129515860432
GFI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PU1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCL,0.0,0.0,0.0,0.16448449202766674,0.38073959338352364,0.0,0.0,0.25820172408498493,0.3539598904464403,0.0
