,ASCL1,BACH1,BACH2,CREB1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HES1,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NFYC,NR6A1,PBX1,PKNOX2,PROX1,RBPJ,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX11,SOX9,STAT1,STAT2,TBX15,TCF4,TCF7L1,TCF7L2,TEAD1,TFDP1,THRB,ZBTB20,ZEB1
Generalist_NE_act,14,11,2,6,9,9,17,8,5,11,22,9,13,2,7,5,23,1,10,2,12,9,15,8,2,13,22,11,7,8,4,14,9,10,24,7,11,24,9,8,24,8,11,10,1,13,9,2,22,12,10,10,8,6
Generalist_NE_kd,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,22,0,22,0,0,0,0,0,0,0,18,0,22,0,0,10,0,0,0,0,0,0,0,22,0,0,16,3,0,0,0
Generalist_nonNE_act,4,1,1,4,0,4,1,1,3,4,1,1,1,1,4,3,3,1,1,3,3,4,3,3,2,4,1,1,1,4,1,3,4,3,2,4,4,1,4,2,2,4,1,1,3,4,4,3,1,4,4,4,1,3
Generalist_nonNE_kd,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0
Arc_3_act,5,5,1,5,0,0,5,1,3,2,0,2,5,5,1,0,0,0,5,0,0,0,1,0,5,5,0,2,5,1,2,2,3,5,5,5,0,5,5,2,1,1,5,5,1,1,5,5,2,5,5,0,2,0
Arc_3_kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arc_6_act,2,2,0,2,0,0,2,0,2,1,0,2,2,2,0,1,0,0,1,1,1,0,0,0,2,2,0,1,2,1,1,0,0,2,0,1,0,2,2,1,0,0,2,2,0,1,2,2,2,2,1,0,1,0
Arc_6_kd,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arc_1_act,2,2,0,0,1,2,2,1,2,2,4,1,2,0,2,1,4,0,0,0,2,1,1,1,0,1,4,1,1,1,3,2,2,1,4,1,1,4,2,1,4,1,2,2,0,2,0,0,4,2,0,1,1,2
Arc_1_kd,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,0,4,0,0,4,2,0,0,0
Arc_5_act,6,3,0,2,6,3,9,5,4,4,10,4,5,0,2,2,10,0,3,2,5,5,4,5,1,6,9,3,3,3,1,4,4,3,10,4,4,10,4,4,10,3,4,2,0,3,2,0,10,5,4,3,4,6
Arc_5_kd,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,10,0,0,0,0,0,0,0,7,0,9,0,0,3,0,0,0,0,0,0,0,10,0,0,5,2,0,0,0
