"loci","TF"
"chrX_48782598_48783489","GATA2"
"chr3_128492555_128493484","FLI1"
"chr1_92486707_92487487","FLI1"
"chr1_47231907_47232721","GATA2"
"chr1_47231907_47232721","SPI1"
"chr1_58783709_58784631","JUN"
"chrX_48961364_48962214","GATA2"
"chrX_48961364_48962214","JUN"
"chrX_48794090_48794959","GATA2"
"chrX_48785866_48786604","GATA2"
"chrX_48940395_48940958","GATA2"
"chrX_48539148_48540016","SPI1"
"chrX_48539148_48540016","FLI1"
"chrX_48539148_48540016","JUN"
"chrX_48920162_48920886","GATA2"
"chrX_48680195_48681086","SPI1"
"chrX_48945493_48946401","GATA2"
"chrX_48945493_48946401","CEBPA"
"chrX_48676038_48676927","JUN"
"chrX_48761590_48762469","SPI1"
"chrX_49012592_49013477","CEBPA"
"chrX_49012592_49013477","JUN"
"chrX_48789251_48790164","GATA2"
"chrX_48789251_48790164","SPI1"
"chrX_48911245_48912165","SPI1"
"chrX_48911245_48912165","FLI1"
"chrX_49032738_49033626","SPI1"
"chrX_49032738_49033626","CEBPA"
"chrX_48683342_48684137","SPI1"
"chrX_48972082_48972822","GATA2"
"chrX_48972082_48972822","SPI1"
"chrX_48574099_48575008","FLI1"
"chrX_48574099_48575008","JUN"
"chrX_48667316_48668187","JUN"
"chrX_48550895_48551318","CEBPA"
"chrX_49001957_49002819","SPI1"
"chrX_48688918_48689792","JUN"
"chrX_48682619_48683217","SPI1"
"chrX_48941535_48942272","GATA2"
"chrX_48726297_48727143","GATA2"
"chrX_48751156_48752049","CEBPA"
"chrX_48957778_48958683","FLI1"
"chrX_48957778_48958683","CEBPA"
"chrX_48714549_48715316","GATA2"
"chr3_128482839_128483707","GATA2"
"chr3_128482839_128483707","CEBPA"
"chr3_128595262_128596141","CEBPA"
"chr3_128595262_128596141","JUN"
"chr3_128725696_128726564","SPI1"
"chr3_128573587_128574495","GATA2"
"chr3_128426089_128426994","SPI1"
"chr3_128603592_128604394","GATA2"
"chr3_128414999_128415900","CEBPA"
"chr3_128414999_128415900","JUN"
"chr3_128466957_128467798","GATA2"
"chr3_128466957_128467798","JUN"
"chr3_128698175_128699128","SPI1"
"chr3_128523285_128524201","CEBPA"
"chr3_128653693_128654576","GATA2"
"chr3_128497389_128498281","JUN"
"chr3_128665358_128666198","GATA2"
"chr3_128554974_128555869","JUN"
"chr3_128674458_128675362","SPI1"
"chr3_128348739_128349582","SPI1"
"chr3_128448199_128449045","JUN"
"chr3_128416485_128417352","JUN"
"chr3_128598721_128599577","JUN"
"chr3_128623482_128624372","GATA2"
"chr3_128468786_128469380","SPI1"
"chr3_128468786_128469380","JUN"
"chr3_128572320_128573165","GATA2"
"chr3_128697079_128697703","SPI1"
"chr3_128294976_128295854","SPI1"
"chr3_128718666_128719513","SPI1"
"chr3_128718666_128719513","CEBPA"
"chr3_128242893_128243821","FLI1"
"chr3_128684906_128685608","SPI1"
"chr3_128378057_128379003","GATA2"
"chr3_128293715_128294501","SPI1"
"chr11_128718565_128719467","SPI1"
"chr11_128718565_128719467","FLI1"
"chr11_128718565_128719467","CEBPA"
"chr11_128624107_128624982","SPI1"
"chr11_128624107_128624982","CEBPA"
"chr11_128859550_128860442","GATA2"
"chr11_128928205_128928922","FLI1"
"chr11_128726562_128727380","SPI1"
"chr11_128726562_128727380","JUN"
"chr11_128929566_128930300","JUN"
"chr11_128713337_128714200","SPI1"
"chr11_128728761_128729708","GATA2"
"chr11_128703388_128704277","SPI1"
"chr11_128703388_128704277","CEBPA"
"chr11_128512226_128513133","GATA2"
"chr11_128512226_128513133","SPI1"
"chr11_128663802_128664602","SPI1"
"chr11_128663802_128664602","CEBPA"
"chr11_128660704_128661623","GATA2"
"chr11_128660704_128661623","CEBPA"
"chr11_128469845_128470616","GATA2"
