"Peak1","Peak2","coaccess"
"chr11_128449147_128449883","chr11_128464941_128465342",0
"chr11_128449147_128449883","chr11_128469845_128470616",0
"chr11_128449147_128449883","chr11_128471119_128471862",0
"chr11_128449147_128449883","chr11_128471994_128472845",0
"chr11_128449147_128449883","chr11_128476461_128477358",0
"chr11_128449147_128449883","chr11_128482320_128483105",0
"chr11_128449147_128449883","chr11_128483237_128483954",0
"chr11_128449147_128449883","chr11_128488331_128489255",0
"chr11_128449147_128449883","chr11_128492920_128493755",0
"chr11_128449147_128449883","chr11_128494330_128495120",0
"chr11_128449147_128449883","chr11_128496778_128497610",0
"chr11_128449147_128449883","chr11_128498464_128499376",0
"chr11_128449147_128449883","chr11_128503356_128504284",0
"chr11_128449147_128449883","chr11_128512226_128513133",0
"chr11_128449147_128449883","chr11_128521993_128522901",0
"chr11_128449147_128449883","chr11_128525248_128526153",0
"chr11_128449147_128449883","chr11_128527740_128528356",0
"chr11_128449147_128449883","chr11_128544373_128545299",0
"chr11_128449147_128449883","chr11_128548424_128549323",0
"chr11_128449147_128449883","chr11_128551465_128552251",0
"chr11_128449147_128449883","chr11_128552721_128553602",0
"chr11_128449147_128449883","chr11_128563758_128564671",0
"chr11_128449147_128449883","chr11_128565642_128566554",0
"chr11_128449147_128449883","chr11_128567999_128568808",0
"chr11_128449147_128449883","chr11_128575556_128576368",0
"chr11_128449147_128449883","chr11_128579599_128580473",0
"chr11_128449147_128449883","chr11_128582529_128583435",0
"chr11_128449147_128449883","chr11_128603822_128604728",0
"chr11_128449147_128449883","chr11_128610841_128611714",0
"chr11_128449147_128449883","chr11_128613330_128614231",0
"chr11_128449147_128449883","chr11_128619724_128620615",0
"chr11_128449147_128449883","chr11_128624107_128624982",0
"chr11_128449147_128449883","chr11_128628405_128629239",0
"chr11_128449147_128449883","chr11_128630169_128631048",0
"chr11_128449147_128449883","chr11_128631984_128632812",0
"chr11_128449147_128449883","chr11_128643400_128644283",0
"chr11_128449147_128449883","chr11_128653516_128654408",0
"chr11_128449147_128449883","chr11_128658217_128659073",0
"chr11_128449147_128449883","chr11_128660704_128661623",0
"chr11_128449147_128449883","chr11_128663802_128664602",0
"chr11_128449147_128449883","chr11_128669231_128670133",0
"chr11_128449147_128449883","chr11_128677879_128678701",0
"chr11_128449147_128449883","chr11_128684635_128685313",0
"chr11_128449147_128449883","chr11_128685715_128686496",0
"chr11_128449147_128449883","chr11_128686676_128687525",0
"chr11_128449147_128449883","chr11_128692654_128693407",0
"chr11_128449147_128449883","chr11_128693727_128694525",0
"chr11_128449147_128449883","chr11_128695608_128696497",0
"chr11_128449147_128449883","chr11_128699625_128700528",0
"chr11_128449147_128449883","chr11_128703388_128704277",0
"chr11_128449147_128449883","chr11_128705365_128706204",0
"chr11_128449147_128449883","chr11_128707091_128707883",0
"chr11_128449147_128449883","chr11_128713337_128714200",0
"chr11_128449147_128449883","chr11_128716647_128717362",0
"chr11_128449147_128449883","chr11_128718565_128719467",0
"chr11_128449147_128449883","chr11_128720324_128721193",0
"chr11_128449147_128449883","chr11_128725283_128726122",0
