"gene","Chr","Starts","Ends","Peak1","Peak2","Importance","function_type"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48961364_48962214",0.480577289797846,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48794090_48794959",0.100815720907456,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48785866_48786604",0.0738945528657414,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48631193_48632063",0.0291460260113947,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48826376_48827068",0.0224613838495202,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48940395_48940958",0.0196696026376244,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48918669_48919573",0.0181513090833334,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48539148_48540016",0.0166770326879477,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48834940_48835809",0.0147719097744984,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48597311_48598316",0.0135694710713999,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48920162_48920886",0.0124360327593806,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48705510_48706413",0.0115527758977025,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48897508_48898437",0.00989396257270322,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48680195_48681086",0.00947744573014239,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48891275_48892145",0.00908693062544424,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48801394_48802331",0.00878605749876521,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48945493_48946401",0.00875018068400526,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48617409_48618221",0.00867595106523017,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48676038_48676927",0.00866828050442714,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48761590_48762469",0.00816267746577953,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_49012592_49013477",0.0080007472550654,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48789251_48790164",0.0071967740337759,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48696178_48697101",0.00684267419769593,"HC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48911245_48912165",0.00657373992049176,"MC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_49032738_49033626",0.00634668631483405,"MC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48934447_48935324",0.00626359370704542,"MC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48683342_48684137",0.00609780639539201,"MC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48972082_48972822",0.00563012552602906,"MC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48574099_48575008",0.00551687372615402,"MC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48667316_48668187",0.00521648899445249,"MC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48550895_48551318",0.00488133548206284,"MC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_48648002_48648894",0.00456451250495232,"MC"
"GATA1","chrX",48783122,48783122,"chrX_48782598_48783489","chrX_49001957_49002819",0.00440042430723181,"MC"
