chrom,start,end,peak_id
1,47173533,47174374,chr1-47173533-47174374
1,47175026,47175919,chr1-47175026-47175919
1,47178887,47179806,chr1-47178887-47179806
1,47180904,47181808,chr1-47180904-47181808
1,47189849,47190729,chr1-47189849-47190729
1,47192595,47193507,chr1-47192595-47193507
1,47194167,47194965,chr1-47194167-47194965
1,47207850,47208709,chr1-47207850-47208709
1,47211545,47212436,chr1-47211545-47212436
1,47213090,47214004,chr1-47213090-47214004
1,47225198,47225927,chr1-47225198-47225927
1,47230574,47231470,chr1-47230574-47231470
1,47231907,47232721,chr1-47231907-47232721
1,47235042,47235992,chr1-47235042-47235992
1,47237234,47238090,chr1-47237234-47238090
1,47238991,47239917,chr1-47238991-47239917
1,47241417,47242252,chr1-47241417-47242252
1,47262649,47263514,chr1-47262649-47263514
1,47289022,47289938,chr1-47289022-47289938
1,47313847,47314760,chr1-47313847-47314760
1,47333631,47334499,chr1-47333631-47334499
1,47388481,47389357,chr1-47388481-47389357
1,47416336,47417217,chr1-47416336-47417217
1,47432145,47433085,chr1-47432145-47433085
1,47436154,47436855,chr1-47436154-47436855
1,47437367,47438299,chr1-47437367-47438299
1,47444436,47445350,chr1-47444436-47445350
1,58546302,58547129,chr1-58546302-58547129
1,58573579,58574431,chr1-58573579-58574431
1,58576434,58577216,chr1-58576434-58577216
1,58597720,58598595,chr1-58597720-58598595
1,58618072,58618972,chr1-58618072-58618972
1,58621112,58621955,chr1-58621112-58621955
1,58648475,58649225,chr1-58648475-58649225
1,58649560,58650388,chr1-58649560-58650388
1,58652305,58653189,chr1-58652305-58653189
1,58699645,58700520,chr1-58699645-58700520
1,58710524,58711425,chr1-58710524-58711425
1,58717900,58718770,chr1-58717900-58718770
1,58738614,58739430,chr1-58738614-58739430
1,58739842,58740571,chr1-58739842-58740571
1,58755175,58755890,chr1-58755175-58755890
1,58768941,58769809,chr1-58768941-58769809
1,58773195,58773999,chr1-58773195-58773999
1,58779520,58780446,chr1-58779520-58780446
1,58783709,58784631,chr1-58783709-58784631
1,58785039,58785632,chr1-58785039-58785632
1,58805783,58806682,chr1-58805783-58806682
1,58809425,58810262,chr1-58809425-58810262
1,58812719,58813613,chr1-58812719-58813613
1,58814963,58815655,chr1-58814963-58815655
1,58816026,58816898,chr1-58816026-58816898
1,58841209,58842099,chr1-58841209-58842099
1,58854294,58855223,chr1-58854294-58855223
1,58857912,58858768,chr1-58857912-58858768
1,58859956,58860835,chr1-58859956-58860835
1,58861342,58862192,chr1-58861342-58862192
1,58881217,58882077,chr1-58881217-58882077
1,58883186,58884139,chr1-58883186-58884139
1,58884781,58885606,chr1-58884781-58885606
1,58885810,58886672,chr1-58885810-58886672
1,58895156,58895998,chr1-58895156-58895998
1,58896333,58897201,chr1-58896333-58897201
1,58898705,58899579,chr1-58898705-58899579
1,58903348,58904271,chr1-58903348-58904271
1,58919707,58920541,chr1-58919707-58920541
1,58922119,58922999,chr1-58922119-58922999
1,58932620,58933485,chr1-58932620-58933485
1,58941500,58942417,chr1-58941500-58942417
1,58964604,58965471,chr1-58964604-58965471
1,58968168,58969068,chr1-58968168-58969068
1,58978995,58979836,chr1-58978995-58979836
1,58987168,58988063,chr1-58987168-58988063
1,59005229,59005971,chr1-59005229-59005971
1,59007689,59008459,chr1-59007689-59008459
1,59008642,59009263,chr1-59008642-59009263
1,59013066,59013968,chr1-59013066-59013968
1,59019947,59020845,chr1-59019947-59020845
1,92291144,92292002,chr1-92291144-92292002
1,92298464,92299397,chr1-92298464-92299397
1,92309860,92310753,chr1-92309860-92310753
1,92311717,92312595,chr1-92311717-92312595
1,92315631,92316549,chr1-92315631-92316549
1,92317563,92318483,chr1-92317563-92318483
1,92365493,92366362,chr1-92365493-92366362
1,92367312,92368133,chr1-92367312-92368133
1,92410428,92411258,chr1-92410428-92411258
1,92459604,92460512,chr1-92459604-92460512
1,92461495,92462404,chr1-92461495-92462404
1,92464522,92465365,chr1-92464522-92465365
1,92466614,92467448,chr1-92466614-92467448
1,92473729,92474539,chr1-92473729-92474539
1,92475933,92476820,chr1-92475933-92476820
1,92478670,92479379,chr1-92478670-92479379
1,92482262,92482692,chr1-92482262-92482692
1,92482886,92483835,chr1-92482886-92483835
1,92484456,92485259,chr1-92484456-92485259
1,92485523,92486332,chr1-92485523-92486332
1,92486707,92487487,chr1-92486707-92487487
1,92501990,92502889,chr1-92501990-92502889
1,92504403,92505238,chr1-92504403-92505238
1,92536675,92537478,chr1-92536675-92537478
1,92537978,92538698,chr1-92537978-92538698
1,92544457,92545347,chr1-92544457-92545347
1,92563235,92564161,chr1-92563235-92564161
1,92583664,92584484,chr1-92583664-92584484
1,92599023,92599864,chr1-92599023-92599864
1,92612558,92613453,chr1-92612558-92613453
1,92623027,92623905,chr1-92623027-92623905
1,92728422,92729338,chr1-92728422-92729338
11,47160971,47161731,chr11-47160971-47161731
11,47176643,47177465,chr11-47176643-47177465
11,47179217,47180112,chr11-47179217-47180112
11,47185970,47186869,chr11-47185970-47186869
