,tf,target,key
3,Batf,4930558F17Rik,Batf_4930558F17Rik
7,Batf,Afg3l1,Batf_Afg3l1
9,Batf,Alcam,Batf_Alcam
12,Batf,Bach2,Batf_Bach2
13,Batf,Brox,Batf_Brox
17,Batf,Cd2,Batf_Cd2
21,Batf,Cldn34d,Batf_Cldn34d
22,Batf,Cnot6l,Batf_Cnot6l
23,Batf,Coro7,Batf_Coro7
27,Batf,Fabp12,Batf_Fabp12
29,Batf,Fam213a,Batf_Fam213a
31,Batf,Gimap5,Batf_Gimap5
35,Batf,Grap,Batf_Grap
37,Batf,Hcls1,Batf_Hcls1
41,Batf,Il10,Batf_Il10
45,Batf,Lat2,Batf_Lat2
48,Batf,Limd1,Batf_Limd1
55,Batf,Neu3,Batf_Neu3
67,Batf,Ppm1m,Batf_Ppm1m
71,Batf,Rasgrp3,Batf_Rasgrp3
81,Batf,Tigit,Batf_Tigit
82,Batf,Tnip3,Batf_Tnip3
84,Batf,Trafd1,Batf_Trafd1
86,Batf,Vrk1,Batf_Vrk1
87,Batf,Wdfy4,Batf_Wdfy4
88,Batf,Zbtb32,Batf_Zbtb32
91,Batf,Zmynd11,Batf_Zmynd11
93,Ctcf,0610009B22Rik,Ctcf_0610009B22Rik
94,Ctcf,0610012G03Rik,Ctcf_0610012G03Rik
95,Ctcf,0610040F04Rik,Ctcf_0610040F04Rik
96,Ctcf,1110065P20Rik,Ctcf_1110065P20Rik
97,Ctcf,1500009C09Rik,Ctcf_1500009C09Rik
98,Ctcf,1600014C10Rik,Ctcf_1600014C10Rik
99,Ctcf,1700001O22Rik,Ctcf_1700001O22Rik
100,Ctcf,1700003M07Rik,Ctcf_1700003M07Rik
101,Ctcf,1700007G11Rik,Ctcf_1700007G11Rik
102,Ctcf,1700012C14Rik,Ctcf_1700012C14Rik
103,Ctcf,1700017B05Rik,Ctcf_1700017B05Rik
104,Ctcf,1700017L05Rik,Ctcf_1700017L05Rik
105,Ctcf,1700020L24Rik,Ctcf_1700020L24Rik
106,Ctcf,1700021F05Rik,Ctcf_1700021F05Rik
107,Ctcf,1700022A21Rik,Ctcf_1700022A21Rik
108,Ctcf,1700028D13Rik,Ctcf_1700028D13Rik
109,Ctcf,1700028I16Rik,Ctcf_1700028I16Rik
110,Ctcf,1700029J03Rik,Ctcf_1700029J03Rik
111,Ctcf,1700034H15Rik,Ctcf_1700034H15Rik
112,Ctcf,1700047G03Rik,Ctcf_1700047G03Rik
113,Ctcf,1700055D16Rik,Ctcf_1700055D16Rik
114,Ctcf,1700069L16Rik,Ctcf_1700069L16Rik
115,Ctcf,1700092C02Rik,Ctcf_1700092C02Rik
116,Ctcf,1700092K14Rik,Ctcf_1700092K14Rik
117,Ctcf,1700110K17Rik,Ctcf_1700110K17Rik
118,Ctcf,1700112J16Rik,Ctcf_1700112J16Rik
119,Ctcf,1700113A16Rik,Ctcf_1700113A16Rik
120,Ctcf,1700125H20Rik,Ctcf_1700125H20Rik
121,Ctcf,1810022K09Rik,Ctcf_1810022K09Rik
122,Ctcf,1810034E14Rik,Ctcf_1810034E14Rik
123,Ctcf,1810055G02Rik,Ctcf_1810055G02Rik
124,Ctcf,2010010A06Rik,Ctcf_2010010A06Rik
125,Ctcf,2010107E04Rik,Ctcf_2010107E04Rik
126,Ctcf,2200002D01Rik,Ctcf_2200002D01Rik
127,Ctcf,2210406O10Rik,Ctcf_2210406O10Rik
128,Ctcf,2310001H17Rik,Ctcf_2310001H17Rik
129,Ctcf,2310015A10Rik,Ctcf_2310015A10Rik
130,Ctcf,2310020H05Rik,Ctcf_2310020H05Rik
131,Ctcf,2410004B18Rik,Ctcf_2410004B18Rik
132,Ctcf,2410004P03Rik,Ctcf_2410004P03Rik
133,Ctcf,2610005L07Rik,Ctcf_2610005L07Rik
134,Ctcf,2700038G22Rik,Ctcf_2700038G22Rik
135,Ctcf,2700081O15Rik,Ctcf_2700081O15Rik
136,Ctcf,2900026A02Rik,Ctcf_2900026A02Rik
137,Ctcf,3110039I08Rik,Ctcf_3110039I08Rik
139,Ctcf,4632404H12Rik,Ctcf_4632404H12Rik
140,Ctcf,4632415L05Rik,Ctcf_4632415L05Rik
141,Ctcf,4831407H17Rik,Ctcf_4831407H17Rik
142,Ctcf,4833412C05Rik,Ctcf_4833412C05Rik
143,Ctcf,4833417C18Rik,Ctcf_4833417C18Rik
144,Ctcf,4921507G05Rik,Ctcf_4921507G05Rik
145,Ctcf,4922502D21Rik,Ctcf_4922502D21Rik
146,Ctcf,4930447M23Rik,Ctcf_4930447M23Rik
147,Ctcf,4930451I11Rik,Ctcf_4930451I11Rik
148,Ctcf,4930465K10Rik,Ctcf_4930465K10Rik
149,Ctcf,4930478P22Rik,Ctcf_4930478P22Rik
150,Ctcf,4930509E16Rik,Ctcf_4930509E16Rik
151,Ctcf,4930519G04Rik,Ctcf_4930519G04Rik
152,Ctcf,4930543E12Rik,Ctcf_4930543E12Rik
153,Ctcf,4930553P18Rik,Ctcf_4930553P18Rik
154,Ctcf,4930556J02Rik,Ctcf_4930556J02Rik
155,Ctcf,4930562F07Rik,Ctcf_4930562F07Rik
156,Ctcf,4930563H07Rik,Ctcf_4930563H07Rik
157,Ctcf,4930578M01Rik,Ctcf_4930578M01Rik
158,Ctcf,4930592I03Rik,Ctcf_4930592I03Rik
159,Ctcf,4931428F04Rik,Ctcf_4931428F04Rik
160,Ctcf,4931429L15Rik,Ctcf_4931429L15Rik
161,Ctcf,4931431C16Rik,Ctcf_4931431C16Rik
162,Ctcf,4933404K13Rik,Ctcf_4933404K13Rik
163,Ctcf,4933405L10Rik,Ctcf_4933405L10Rik
164,Ctcf,4933412E12Rik,Ctcf_4933412E12Rik
165,Ctcf,4933416M07Rik,Ctcf_4933416M07Rik
166,Ctcf,5033406O09Rik,Ctcf_5033406O09Rik
167,Ctcf,5430431A17Rik,Ctcf_5430431A17Rik
