source,target,peak,motif_id,score
PU1,PU1,chr11_47407914_47408850,GM.5.0.Ets.0015,12.00584985386082
CJUN,PU1,chr11_47407914_47408850,GM.5.0.bZIP.0010,10.322063909569088
GATA1,FOG1,chr16_88455893_88456643,GM.5.0.GATA.0001,10.44298475561519
GATA2,FOG1,chr16_88455893_88456643,GM.5.0.GATA.0001,10.44298475561519
SCL,FOG1,chr16_88455893_88456643,GM.5.0.GATA.0001,10.44298475561519
GATA2,FOG1,chr16_88511612_88512480,GM.5.0.GATA.0002,8.484433630345901
FLI1,FOG1,chr16_88511612_88512480,GM.5.0.Ets.0003,10.829636248760623
EKLF,FOG1,chr16_88523448_88524266,GM.5.0.C2H2_ZF.0268,10.490682767682
EKLF,FOG1,chr16_88527151_88528060,GM.5.0.C2H2_ZF.0268,10.490682767682
GATA1,EKLF,chr19_12734265_12735172,GM.5.0.GATA.0028,8.66082098891399
GATA1,EKLF,chr19_12799938_12800722,GM.5.0.GATA.0001,11.161523210140787
GATA2,EKLF,chr19_12799938_12800722,GM.5.0.GATA.0001,11.161523210140787
SCL,EKLF,chr19_12799938_12800722,GM.5.0.GATA.0001,11.161523210140787
EKLF,EKLF,chr19_12799938_12800722,GM.5.0.C2H2_ZF.0268,10.490682767682
CEBPA,EKLF,chr19_12806106_12807016,GM.5.0.bZIP.0031,9.358627404331497
CEBPA,EKLF,chr19_12832204_12833083,GM.5.0.bZIP.0083,7.054362730759619
SCL,EKLF,chr19_12840418_12841243,GM.5.0.bHLH.0007,10.174758301021452
SCL,EKLF,chr19_12840418_12841243,GM.5.0.bHLH.0118,13.337071577516681
GATA2,EKLF,chr19_12937971_12938881,GM.5.0.GATA.0002,8.484433630345901
CJUN,EKLF,chr19_12945379_12946248,GM.5.0.bZIP.0024,9.741175957795974
CJUN,EKLF,chr19_12945379_12946248,GM.5.0.bZIP.0024,9.741175957795972
CJUN,EKLF,chr19_12945379_12946248,GM.5.0.bZIP.0096,10.555998595331967
CJUN,EKLF,chr19_12945379_12946248,GM.5.0.bZIP.0096,10.555998595331967
GATA1,EKLF,chr19_12964981_12965838,GM.5.0.GATA.0001,10.395087511272372
GATA2,EKLF,chr19_12964981_12965838,GM.5.0.GATA.0001,10.395087511272372
SCL,EKLF,chr19_12964981_12965838,GM.5.0.GATA.0001,10.395087511272372
FLI1,EKLF,chr19_12983253_12984155,GM.5.0.Ets.0012,10.992690169632342
CEBPA,EKLF,chr19_13015428_13016289,GM.5.0.bZIP.0069,11.69111062817966
GATA1,EKLF,chr19_13069402_13070281,GM.5.0.GATA.0001,9.970987791557913
GATA2,EKLF,chr19_13069402_13070281,GM.5.0.GATA.0001,9.970987791557913
SCL,EKLF,chr19_13069402_13070281,GM.5.0.GATA.0001,9.970987791557913
EKLF,EKLF,chr19_13079202_13080055,GM.5.0.C2H2_ZF.0268,10.804593765875488
GATA1,EKLF,chr19_13102519_13103447,GM.5.0.GATA.0001,9.773385214591464
GATA2,EKLF,chr19_13102519_13103447,GM.5.0.GATA.0001,9.773385214591464
SCL,EKLF,chr19_13102519_13103447,GM.5.0.GATA.0001,9.773385214591464
EKLF,EKLF,chr19_13102519_13103447,GM.5.0.C2H2_ZF.0268,10.804593765875488
GATA1,CEBPA,chr19_33151989_33152854,GM.5.0.GATA.0009,10.572937015987566
CEBPA,CEBPA,chr19_33151989_33152854,GM.5.0.bZIP.0052,9.726296562190985
CJUN,CEBPA,chr19_33231202_33232104,GM.5.0.bZIP.0010,10.021831105244946
FLI1,CEBPA,chr19_33241281_33242200,GM.5.0.Ets.0032,9.9547719086631
FLI1,CEBPA,chr19_33273732_33274630,GM.5.0.Ets.0032,9.259269215723785
FLI1,CEBPA,chr19_33280251_33281170,GM.5.0.Ets.0032,8.48685047876089
GFI1,CEBPA,chr19_33280251_33281170,GM.5.0.C2H2_ZF.0068,9.719391528168687
CEBPA,CEBPA,chr19_33286673_33287589,GM.5.0.bZIP.0031,11.27462048644024
CJUN,CEBPA,chr19_33330324_33331159,GM.5.0.bZIP.0024,11.136959504466432
CJUN,CEBPA,chr19_33330324_33331159,GM.5.0.bZIP.0096,9.63822528707953
CJUN,CEBPA,chr19_33330324_33331159,GM.5.0.bZIP.0096,9.564332415208918
EKLF,CEBPA,chr19_33394046_33394952,GM.5.0.C2H2_ZF.0268,10.490682767682
FLI1,CEBPA,chr19_33406543_33407429,GM.5.0.Ets.0022,9.112945145943641
CEBPA,CEBPA,chr19_33406543_33407429,GM.5.0.bZIP.0069,11.024140128931261
GATA1,SCL,chr1_47180903_47181808,GM.5.0.GATA.0001,10.286121953631898
GATA2,SCL,chr1_47180903_47181808,GM.5.0.GATA.0001,10.286121953631898
SCL,SCL,chr1_47180903_47181808,GM.5.0.GATA.0001,10.286121953631898
FLI1,SCL,chr1_47189848_47190729,GM.5.0.Ets.0012,10.992690169632342
SCL,SCL,chr1_47192594_47193507,GM.5.0.bHLH.0118,9.341027786899746
GATA1,SCL,chr1_47213089_47214004,GM.5.0.GATA.0028,8.774011372603608
GATA1,SCL,chr1_47231906_47232721,GM.5.0.GATA.0001,10.610400151932778
GATA2,SCL,chr1_47231906_47232721,GM.5.0.GATA.0001,10.610400151932778
SCL,SCL,chr1_47231906_47232721,GM.5.0.GATA.0001,10.610400151932778
FLI1,SCL,chr1_47231906_47232721,GM.5.0.Ets.0022,9.034202758816644
FLI1,SCL,chr1_47231906_47232721,GM.5.0.Ets.0022,8.852331636167156
GATA1,SCL,chr1_47238990_47239917,GM.5.0.GATA.0028,9.225753540529558
CEBPA,SCL,chr1_47238990_47239917,GM.5.0.bZIP.0083,7.054362730759619
GATA1,SCL,chr1_47241416_47242252,GM.5.0.GATA.0001,9.954540809348037
GATA2,SCL,chr1_47241416_47242252,GM.5.0.GATA.0001,9.954540809348037
SCL,SCL,chr1_47241416_47242252,GM.5.0.GATA.0001,9.954540809348037
SCL,SCL,chr1_47241416_47242252,GM.5.0.bHLH.0048,10.57120047352612
FLI1,SCL,chr1_47313846_47314760,GM.5.0.Ets.0003,9.331718888654112
CJUN,CJUN,chr1_58783708_58784631,GM.5.0.bZIP.0024,10.148088141918624
CJUN,CJUN,chr1_58783708_58784631,GM.5.0.bZIP.0082,9.624744837532475
CJUN,CJUN,chr1_58783708_58784631,GM.5.0.bZIP.0096,8.934630104015909
CJUN,CJUN,chr1_58783708_58784631,GM.5.0.bZIP.0096,8.261182692631571
GFI1,CJUN,chr1_58785038_58785632,GM.5.0.C2H2_ZF.0068,9.719391528168687
PU1,CJUN,chr1_58854293_58855223,GM.5.0.Ets.0010,11.98802651651113
CEBPA,CJUN,chr1_58854293_58855223,GM.5.0.bZIP.0083,7.054362730759619
GATA1,CJUN,chr1_58883185_58884139,GM.5.0.GATA.0028,8.669290850779365
PU1,CJUN,chr1_58883185_58884139,GM.5.0.Ets.0010,12.113660601985927
SCL,CJUN,chr1_58919706_58920541,GM.5.0.bHLH.0007,11.794986777772113
SCL,CJUN,chr1_58919706_58920541,GM.5.0.bHLH.0118,11.487439178323545
EKLF,CJUN,chr1_58922118_58922999,GM.5.0.C2H2_ZF.0268,10.490682767682
CEBPA,CJUN,chr1_58932619_58933485,GM.5.0.bZIP.0031,10.004223356331957
EKLF,CJUN,chr1_58932619_58933485,GM.5.0.C2H2_ZF.0268,10.490682767682
SCL,CJUN,chr1_58932619_58933485,GM.5.0.bHLH.0137,10.459584706970965
CJUN,CJUN,chr1_59019946_59020845,GM.5.0.bZIP.0013,10.117466074643367
SCL,GFI1,chr1_92485522_92486332,GM.5.0.bHLH.0007,9.856370939609238
FLI1,GFI1,chr1_92486706_92487487,GM.5.0.Ets.0003,10.101520470362932
FLI1,GATA2,chr3_128492554_128493484,GM.5.0.Ets.0032,8.589271769407757
GATA1,GATA1,chrX_48696177_48697101,GM.5.0.GATA.0001,9.793718291511809
GATA2,GATA1,chrX_48696177_48697101,GM.5.0.GATA.0001,9.793718291511809
SCL,GATA1,chrX_48696177_48697101,GM.5.0.GATA.0001,9.793718291511809
EKLF,GATA1,chrX_48701800_48702651,GM.5.0.C2H2_ZF.0268,10.804593765875488
EKLF,GATA1,chrX_48701800_48702651,GM.5.0.C2H2_ZF.0268,10.804593765875488
GATA1,GATA1,chrX_48782597_48783489,GM.5.0.GATA.0001,9.729592490989763
GATA2,GATA1,chrX_48782597_48783489,GM.5.0.GATA.0001,9.729592490989763
SCL,GATA1,chrX_48782597_48783489,GM.5.0.GATA.0001,9.729592490989763
EKLF,GATA1,chrX_48782597_48783489,GM.5.0.C2H2_ZF.0268,10.490682767682
FLI1,GATA1,chrX_48785865_48786604,GM.5.0.Ets.0022,12.517817186145109
EKLF,GATA1,chrX_48785865_48786604,GM.5.0.C2H2_ZF.0268,10.804593765875488
GATA1,GATA1,chrX_48940394_48940958,GM.5.0.GATA.0001,9.940542470570765
GATA2,GATA1,chrX_48940394_48940958,GM.5.0.GATA.0001,9.940542470570765
SCL,GATA1,chrX_48940394_48940958,GM.5.0.GATA.0001,9.940542470570765
GATA2,GATA1,chrX_48961363_48962214,GM.5.0.GATA.0002,8.484433630345901
