seqname,motif_id,factors_direct,factors_indirect,score,pos,strand
chrX_48782597_48783489,GM.5.0.C2H2_ZF.0268,KLF1,"Klf5, KLF1, KLF7, Klf3, Klf2, Klf6",10.490682767682,157,-1
chrX_48785865_48786604,GM.5.0.Ets.0022,"EWSR1, FLI1, EWSR1-FLI1",,12.517817186145109,663,1
chrX_48785865_48786604,GM.5.0.C2H2_ZF.0268,KLF1,"Klf5, KLF1, KLF7, Klf3, Klf2, Klf6",10.804593765875488,38,-1
chr3_128492554_128493484,GM.5.0.Ets.0032,"ERG, FLI1","Erf, Ets2, FLI1, ERG, ENSG00000235187, Etv2, Fev, ENSMUSG00000044690",8.589271769407757,196,-1
chr11_47399949_47400762,GM.5.0.Ets.0003,"ERF, ETS1, Elk1, ELK1, FLI1, ERG, ETV3, Elk4, ETV2, GABPA, ELK4, ETV4, ELK3, ETV1, Elk3","ELK1, FLI1, GABPA, ERF, Ets2, ERG, ETV3, ENSG00000235187, ELK4, Fev, ENSMUSG00000044690, Etv2, Erf, ETS1, ETV2, ETV4, ELK3, ETV1, Elk3",9.331718888654112,436,1
chr11_47407914_47408850,GM.5.0.bZIP.0010,"BATF, JUN","RXRA, IRF4, TCF12",10.322063909569088,230,1
chr11_47415517_47416417,GM.5.0.bHLH.0137,TAL1,,10.459584706970965,524,1
chr11_47415517_47416417,GM.5.0.bZIP.0082,JUN,,9.68723540332578,728,-1
chr11_128677878_128678701,GM.5.0.bZIP.0082,JUN,,9.523936891874206,184,1
chr11_128686675_128687525,GM.5.0.bZIP.0010,"BATF, JUN","RXRA, IRF4, TCF12",10.757754553215808,808,1
chr11_128693726_128694525,GM.5.0.GATA.0001,"TAL1, Tal1, GATA1, Gata, Gata1, GATA2","TAL1, GATA1, Gata2, GATA2, CCNT2",10.402930258056417,33,1
chr19_12883372_12884221,GM.5.0.bZIP.0031,"DDIT3, cebpa, Cebpa, CEBPA, Ddit3","DDIT3, Ddit3",9.991242505683235,710,1
chr1_92478669_92479379,GM.5.0.C2H2_ZF.0268,KLF1,"Klf5, KLF1, KLF7, Klf3, Klf2, Klf6",10.804593765875488,562,-1
chr1_92485522_92486332,GM.5.0.bHLH.0007,"TAL1, Tcf21, NEUROG2, TCF3, Bhlha15, Atoh1","Neurog2, Tcf15, Neurod4, Neurod2, TCF23, NEUROD4, Neurod1, TCF21, Neurog3, Atoh1, TCF15, ATOH7, NEUROG3, NEUROD6, Atoh7, ENSG00000187728, Neurod6, NEUROG2, NEUROG1",9.856370939609238,221,-1
chr1_92486706_92487487,GM.5.0.Ets.0003,"ERF, ETS1, Elk1, ELK1, FLI1, ERG, ETV3, Elk4, ETV2, GABPA, ELK4, ETV4, ELK3, ETV1, Elk3","ELK1, FLI1, GABPA, ERF, Ets2, ERG, ETV3, ENSG00000235187, ELK4, Fev, ENSMUSG00000044690, Etv2, Erf, ETS1, ETV2, ETV4, ELK3, ETV1, Elk3",10.101520470362932,219,-1
chr16_88455893_88456643,GM.5.0.GATA.0001,"TAL1, Tal1, GATA1, Gata, Gata1, GATA2","TAL1, GATA1, Gata2, GATA2, CCNT2",10.44298475561519,97,1
chr1_47231906_47232721,GM.5.0.GATA.0001,"TAL1, Tal1, GATA1, Gata, Gata1, GATA2","TAL1, GATA1, Gata2, GATA2, CCNT2",10.610400151932778,447,-1
chr1_47231906_47232721,GM.5.0.Ets.0022,"EWSR1, FLI1, EWSR1-FLI1",,9.034202758816644,25,1
chr1_47231906_47232721,GM.5.0.Ets.0022,"EWSR1, FLI1, EWSR1-FLI1",,8.852331636167156,33,1
chr1_47237233_47238090,GM.5.0.Ets.0012,"Elf5, FLI1, ETV5",,11.016198240740966,478,-1
chr1_47238990_47239917,GM.5.0.GATA.0028,GATA1,Gata2,9.225753540529558,501,-1
chr1_47241416_47242252,GM.5.0.GATA.0001,"TAL1, Tal1, GATA1, Gata, Gata1, GATA2","TAL1, GATA1, Gata2, GATA2, CCNT2",9.954540809348037,309,-1
chr1_47241416_47242252,GM.5.0.bHLH.0048,"TAL1, TWIST1, TCF3","LYL1, Tal1, Tal2, TAL2, Lyl1, Tcf15, Nhlh1, NHLH2",10.57120047352612,432,-1
chr1_58783708_58784631,GM.5.0.bZIP.0024,"FOS, JUN, Atf2, FOSL1, JUND, ATF2","JUN, JUND, JUNB",10.148088141918624,396,1
chr1_58783708_58784631,GM.5.0.bZIP.0082,JUN,,9.624744837532475,504,1
chr1_58783708_58784631,GM.5.0.bZIP.0096,"XBP1, Creb5, CREB1, Jdp2, FOSL2, CREB3, BATF3, JUNB, JUN, FOSL1, JUND, JDP2, 9430076C15Rik, JunD, ATF7, FOSB","XBP1, Jdp2, JDP2, CREB3, Batf, JUN, Atf1, CREB3L3, Batf3, CREB5, JUND, CREB3L4, BATF3, Creb5, Creb3l3, ATF7",8.934630104015909,396,1
