source_real_symbol,target_real_symbol,peak,importance,function_type
GATA2,GATA1,chrX_48782598_48783489,0.480577289797846,HC
GATA2,GATA1,chrX_48961364_48962214,0.480577289797846,HC
JUN,GATA1,chrX_48961364_48962214,0.480577289797846,HC
GATA2,GATA1,chrX_48782598_48783489,0.100815720907456,HC
GATA2,GATA1,chrX_48794090_48794959,0.100815720907456,HC
GATA2,GATA1,chrX_48782598_48783489,0.0738945528657414,HC
GATA2,GATA1,chrX_48785866_48786604,0.0738945528657414,HC
GATA2,GATA1,chrX_48782598_48783489,0.0291460260113947,HC
GATA2,GATA1,chrX_48782598_48783489,0.0224613838495202,HC
GATA2,GATA1,chrX_48782598_48783489,0.0196696026376244,HC
GATA2,GATA1,chrX_48940395_48940958,0.0196696026376244,HC
GATA2,GATA1,chrX_48782598_48783489,0.0181513090833334,HC
GATA2,GATA1,chrX_48782598_48783489,0.0166770326879477,HC
SPI1,GATA1,chrX_48539148_48540016,0.0166770326879477,HC
FLI1,GATA1,chrX_48539148_48540016,0.0166770326879477,HC
JUN,GATA1,chrX_48539148_48540016,0.0166770326879477,HC
GATA2,GATA1,chrX_48782598_48783489,0.0147719097744984,HC
GATA2,GATA1,chrX_48782598_48783489,0.0135694710713999,HC
GATA2,GATA1,chrX_48782598_48783489,0.0124360327593806,HC
GATA2,GATA1,chrX_48920162_48920886,0.0124360327593806,HC
GATA2,GATA1,chrX_48782598_48783489,0.0115527758977025,HC
GATA2,GATA1,chrX_48782598_48783489,0.0098939625727032,HC
GATA2,GATA1,chrX_48782598_48783489,0.0094774457301423,HC
SPI1,GATA1,chrX_48680195_48681086,0.0094774457301423,HC
GATA2,GATA1,chrX_48782598_48783489,0.0090869306254442,HC
GATA2,GATA1,chrX_48782598_48783489,0.0087860574987652,HC
GATA2,GATA1,chrX_48782598_48783489,0.0087501806840052,HC
GATA2,GATA1,chrX_48945493_48946401,0.0087501806840052,HC
CEBPA,GATA1,chrX_48945493_48946401,0.0087501806840052,HC
GATA2,GATA1,chrX_48782598_48783489,0.0086759510652301,HC
GATA2,GATA1,chrX_48782598_48783489,0.0086682805044271,HC
JUN,GATA1,chrX_48676038_48676927,0.0086682805044271,HC
GATA2,GATA1,chrX_48782598_48783489,0.0081626774657795,HC
SPI1,GATA1,chrX_48761590_48762469,0.0081626774657795,HC
GATA2,GATA1,chrX_48782598_48783489,0.0080007472550654,HC
CEBPA,GATA1,chrX_49012592_49013477,0.0080007472550654,HC
JUN,GATA1,chrX_49012592_49013477,0.0080007472550654,HC
GATA2,GATA1,chrX_48782598_48783489,0.0071967740337759,HC
GATA2,GATA1,chrX_48789251_48790164,0.0071967740337759,HC
SPI1,GATA1,chrX_48789251_48790164,0.0071967740337759,HC
GATA2,GATA1,chrX_48782598_48783489,0.0068426741976959,HC
GATA2,GATA1,chrX_48782598_48783489,0.0065737399204917,MC
SPI1,GATA1,chrX_48911245_48912165,0.0065737399204917,MC
FLI1,GATA1,chrX_48911245_48912165,0.0065737399204917,MC
GATA2,GATA1,chrX_48782598_48783489,0.006346686314834,MC
SPI1,GATA1,chrX_49032738_49033626,0.006346686314834,MC
CEBPA,GATA1,chrX_49032738_49033626,0.006346686314834,MC
GATA2,GATA1,chrX_48782598_48783489,0.0062635937070454,MC
GATA2,GATA1,chrX_48782598_48783489,0.006097806395392,MC
SPI1,GATA1,chrX_48683342_48684137,0.006097806395392,MC
GATA2,GATA1,chrX_48782598_48783489,0.005630125526029,MC
GATA2,GATA1,chrX_48972082_48972822,0.005630125526029,MC
SPI1,GATA1,chrX_48972082_48972822,0.005630125526029,MC
GATA2,GATA1,chrX_48782598_48783489,0.005516873726154,MC
FLI1,GATA1,chrX_48574099_48575008,0.005516873726154,MC
JUN,GATA1,chrX_48574099_48575008,0.005516873726154,MC
