source,target,peak,motif_id,score
EKLF,GATA1,chrX_48782597_48783489,GM.5.0.C2H2_ZF.0268,10.490682767682
FLI1,GATA1,chrX_48785865_48786604,GM.5.0.Ets.0022,12.517817186145107
EKLF,GATA1,chrX_48785865_48786604,GM.5.0.C2H2_ZF.0268,10.804593765875488
FLI1,GATA2,chr3_128492554_128493484,GM.5.0.Ets.0032,8.589271769407757
FLI1,PU1,chr11_47399949_47400762,GM.5.0.Ets.0003,9.331718888654112
CJUN,PU1,chr11_47407914_47408850,GM.5.0.bZIP.0010,10.322063909569088
SCL,PU1,chr11_47415517_47416417,GM.5.0.bHLH.0137,10.459584706970965
CJUN,PU1,chr11_47415517_47416417,GM.5.0.bZIP.0082,9.68723540332578
CJUN,FLI1,chr11_128677878_128678701,GM.5.0.bZIP.0082,9.523936891874206
CJUN,FLI1,chr11_128686675_128687525,GM.5.0.bZIP.0010,10.757754553215808
GATA1,FLI1,chr11_128693726_128694525,GM.5.0.GATA.0001,10.402930258056417
GATA2,FLI1,chr11_128693726_128694525,GM.5.0.GATA.0001,10.402930258056417
SCL,FLI1,chr11_128693726_128694525,GM.5.0.GATA.0001,10.402930258056417
CEBPA,EKLF,chr19_12883372_12884221,GM.5.0.bZIP.0031,9.991242505683235
EKLF,GFI1,chr1_92478669_92479379,GM.5.0.C2H2_ZF.0268,10.804593765875488
SCL,GFI1,chr1_92485522_92486332,GM.5.0.bHLH.0007,9.856370939609238
FLI1,GFI1,chr1_92486706_92487487,GM.5.0.Ets.0003,10.101520470362932
GATA1,FOG1,chr16_88455893_88456643,GM.5.0.GATA.0001,10.44298475561519
GATA2,FOG1,chr16_88455893_88456643,GM.5.0.GATA.0001,10.44298475561519
SCL,FOG1,chr16_88455893_88456643,GM.5.0.GATA.0001,10.44298475561519
GATA1,SCL,chr1_47231906_47232721,GM.5.0.GATA.0001,10.610400151932778
GATA2,SCL,chr1_47231906_47232721,GM.5.0.GATA.0001,10.610400151932778
SCL,SCL,chr1_47231906_47232721,GM.5.0.GATA.0001,10.610400151932778
FLI1,SCL,chr1_47231906_47232721,GM.5.0.Ets.0022,9.034202758816644
FLI1,SCL,chr1_47231906_47232721,GM.5.0.Ets.0022,8.852331636167156
FLI1,SCL,chr1_47237233_47238090,GM.5.0.Ets.0012,11.016198240740966
GATA1,SCL,chr1_47238990_47239917,GM.5.0.GATA.0028,9.225753540529558
GATA1,SCL,chr1_47241416_47242252,GM.5.0.GATA.0001,9.954540809348035
GATA2,SCL,chr1_47241416_47242252,GM.5.0.GATA.0001,9.954540809348035
SCL,SCL,chr1_47241416_47242252,GM.5.0.GATA.0001,9.954540809348035
SCL,SCL,chr1_47241416_47242252,GM.5.0.bHLH.0048,10.57120047352612
CJUN,CJUN,chr1_58783708_58784631,GM.5.0.bZIP.0024,10.148088141918624
CJUN,CJUN,chr1_58783708_58784631,GM.5.0.bZIP.0082,9.624744837532475
CJUN,CJUN,chr1_58783708_58784631,GM.5.0.bZIP.0096,8.934630104015909
